lagtime	RRD_p|all	se_p|all	wtd_avg_RRD_p|all	se_p|all
252	0.000549959766808551	5.76813793388896e-05	0.000372679251118301	6.94262338499273e-05
258	0.000539092355405069	5.7785404375866e-05	0.000369716048812673	6.94300845918488e-05
264	0.000513753147431066	5.78814187493414e-05	0.000358007731724842	6.94193097068033e-05
270	0.000498268027335141	5.79675170930612e-05	0.000375540457208558	6.94109043068251e-05
276	0.000492468629795008	5.80651649593251e-05	0.000347580880207082	6.9414818789216e-05
282	0.0004903872105397	5.81412175668559e-05	0.000358937148993892	6.94279834026746e-05
288	0.000496721508571916	5.81627815626917e-05	0.000343670218358845	6.94288109310643e-05
294	0.000483332351237953	5.8143723814585e-05	0.000327922863012231	6.94330021534862e-05
300	0.000479842893579934	5.81420771842246e-05	0.000317401166750535	6.94382360276681e-05
306	0.000478832057925059	5.81573197834269e-05	0.000336182042266499	6.94401838900907e-05
312	0.000447545856773266	5.81759825916938e-05	0.000315489396142787	6.94511202819156e-05
318	0.000452780883430553	5.81937790678314e-05	0.000342004330186717	6.94558127171874e-05
324	0.000448063562996986	5.82062749264532e-05	0.000355601268613202	6.94631694383489e-05
330	0.000427875234458463	5.82100237605499e-05	0.000324930752604374	6.94651271902424e-05
336	0.000415661509075753	5.82156896482723e-05	0.000341134363482223	6.94624864364203e-05
342	0.00042025130064622	5.82304558146544e-05	0.000341928177709985	6.94720489036708e-05
348	0.000446400624895111	5.82382719364763e-05	0.00032297420149201	6.94777016200451e-05
354	0.000449866319588257	5.82301990205942e-05	0.00032681523693256	6.94733103325838e-05
360	0.000445243821732314	5.8203038128314e-05	0.000354739367485582	6.94511753084461e-05
366	0.000433439101435001	5.82028393456311e-05	0.000365927822751451	6.94489639581754e-05
372	0.000378605232912454	5.82182537418621e-05	0.000322475513280418	6.94534889829758e-05
378	0.000367343185159336	5.823562510363e-05	0.000293427560020011	6.94468146947593e-05
384	0.000392734396997969	5.82451665292205e-05	0.000328169226069846	6.94492257368467e-05
390	0.000397266385173064	5.82495733459066e-05	0.000376060582687165	6.94494064129526e-05
396	0.000416944138769075	5.82568603011256e-05	0.000409387384610746	6.94634383778583e-05
402	0.000415522575906695	5.82644749501636e-05	0.000392122477549964	6.94566156918048e-05
408	0.000430348687423465	5.82680362538237e-05	0.000399498930464056	6.94539689603931e-05
414	0.00040871060499021	5.82837442510561e-05	0.000345222115426663	6.94476609653608e-05
420	0.000375201270543831	5.83074353074748e-05	0.000331013676657313	6.94576846600521e-05
426	0.000340284123385725	5.83258456567815e-05	0.000297266543789499	6.94608894308642e-05
432	0.000351622401424684	5.83365945165625e-05	0.000323697252424002	6.94550694078839e-05
438	0.000379939114860401	5.83419403355437e-05	0.00040994002333435	6.94660936330619e-05
444	0.00037914347759275	5.83510799489504e-05	0.000467860739051829	6.94653806739549e-05
450	0.000346586597501352	5.83576628714477e-05	0.000416631989392534	6.94532092546251e-05
456	0.000322975722386952	5.83717859106955e-05	0.000349352002118524	6.94331996848815e-05
462	0.000356884680268353	5.83784220225861e-05	0.000355412324675287	6.9420325752015e-05
468	0.000359886129249398	5.83872933363081e-05	0.00032655016176349	6.94094022240524e-05
474	0.000358822896175345	5.83872999437521e-05	0.000298604086138944	6.93945202176085e-05
480	0.000335234655793826	5.83655470841061e-05	0.000275498807124173	6.93595815518562e-05
486	0.000361474171648738	5.83259189686819e-05	0.000270654679675619	6.93249921075368e-05
