lagtime	NRF_p<1.5|all	NRF_p=1.5-3|all	NRF_p=3-4.5|all	NRF_p=4.5-6|all	NRF_p=6-7.5|all	NRF_p=7.5-9|all	NRF_p>9|all	se_p<1.5|all	se_p=1.5-3|all	se_p=3-4.5|all	se_p=4.5-6|all	se_p=6-7.5|all	se_p=7.5-9|all	se_p>9|all
28	0.00113548778332704	0.00878413168164268	0.0213908234110151	0.0341577515218112	0.0164075598762926	0.0645982335406372	0.100979018813158	0.000540761817279003	0.0013414035723443	0.00241087969065606	0.00419461274567207	0.00624044394182371	0.00759898504666762	0.0084203097344172
29	0.00104926100529281	0.00793368721706776	0.0197651603191239	0.0324986066433089	0.014334319379972	0.063472941087273	0.103645872522667	0.000543632304789675	0.00135292890072677	0.00243114092863043	0.00423660742281273	0.00629385053000263	0.00766151804389464	0.0084893261123133
30	0.00093516278225314	0.00723767766088397	0.0182756230140421	0.0314597602981395	0.0145544251483918	0.0616176339704426	0.103444325472167	0.000546352137200214	0.00136384100761615	0.00245030592941552	0.00427649809096459	0.00634418084327147	0.00772031154511996	0.00855433491294546
31	0.000831492654109526	0.00669775245611158	0.0170103485331129	0.0306440088985929	0.0152552976047326	0.0575077728821553	0.0995860478269855	0.000548942190003926	0.00137419088587852	0.0024683864107966	0.004314228325069	0.00639190805247205	0.00777568489558625	0.00861604260518144
32	0.000809806135598804	0.00634338513186145	0.016066692202355	0.0297556759220669	0.016730504278091	0.0523543669310608	0.0916991225220882	0.000551369941159622	0.00138395782265314	0.00248541023816275	0.00434990491248553	0.00643731998227967	0.00782776860529536	0.00867532191353945
33	0.000830101187637287	0.00619260476419509	0.0154641697857902	0.0291419288141441	0.0185195612425497	0.0468117499847169	0.0826745741968581	0.000553638348970046	0.00139319875261057	0.00250132170831772	0.00438343766585283	0.00648027054812637	0.00787638454935722	0.00873211156041859
34	0.000868343012201802	0.00621452390208947	0.0148895765704261	0.0283218352621049	0.0199173207291609	0.040478452716052	0.0735272227670943	0.000555761008926445	0.0014019228204384	0.00251626314969492	0.0044148661229924	0.00652066756204528	0.00792171763999584	0.0087863493100754
35	0.000994251202525724	0.00626777081808684	0.0142329976467532	0.0276996421290036	0.0212299526735865	0.0349815468372381	0.0660854464823237	0.000557709849538494	0.00141023040777135	0.00253024979490176	0.0044438484260985	0.00655839702033555	0.00796417495964015	0.00883789440962077
36	0.00113851899093473	0.00645548079990806	0.0137435331828483	0.0264027356192724	0.0216609450911379	0.0307515565757823	0.0600387930614294	0.000559479056112441	0.00141805479992189	0.00254331264446706	0.00447042201906695	0.0065932640000393	0.00800385749941373	0.00888667641836096
37	0.0012465916608274	0.00649496595921486	0.013195619539084	0.0249731836133312	0.0208503761638824	0.0266557308019164	0.0550480151493034	0.000561120280603413	0.00142543390063431	0.0025556066163764	0.00449499867758576	0.00662557021668138	0.00804081205526263	0.0089326514307503
38	0.00131589173000156	0.00644201913481961	0.0126843772362857	0.0233755477369543	0.0194487172930347	0.0231784296438541	0.0507644102645535	0.00056263361975167	0.00143239439460614	0.00256719315945895	0.00451766129044364	0.00665564021149778	0.00807527783230698	0.00897605951904264
39	0.00150551124503707	0.00643765746419386	0.0121387712269863	0.0220590832970162	0.017782106279824	0.0199421680272145	0.0470250823703875	0.000564026337384072	0.0014389775420699	0.0025781948080155	0.00453853185291531	0.00668396962476786	0.00810686024131748	0.00901709266848723
40	0.00176597388569859	0.00631487231536951	0.0114953338236821	0.0211260923022012	0.0163869156820659	0.0175783797882646	0.0441433248827806	0.000565297565463204	0.00144525533814	0.00258861991097186	0.00455766616160429	0.00671105585197037	0.00813558336296948	0.00905555564590048
41	0.00202584217482088	0.0060990831387241	0.0108036776959496	0.0201339270088861	0.0149953381027428	0.0162005829627448	0.0420222847115181	0.000566483328380191	0.00145118312426973	0.00259850770424089	0.00457524136955818	0.00673710183195112	0.00816149992650347	0.00909163802684663
42	0.00220536066890373	0.00580476841730571	0.00998896390738381	0.0198115471317561	0.0145318883122861	0.0155437948080759	0.0409566535526696	0.000567635894218454	0.00145672955624617	0.00260771528619999	0.00459141159289815	0.00676207597155373	0.00818513177072619	0.00912564300996602
43	0.00232472655998919	0.00541848133931271	0.00912047628317356	0.0196439935043156	0.0146130423285931	0.0158889530096035	0.0407458893495128	0.000568794299411111	0.00146189290560905	0.00261625052560046	0.00460644136811189	0.00678614123546311	0.00820632012630198	0.00915772732780024
44	0.00238656998948197	0.00499336260669568	0.00813347896972819	0.0198384044512923	0.0154223650740926	0.0162776140674118	0.0399837280941899	0.000569923711748578	0.00146678714651353	0.00262423287682059	0.00462034962460364	0.00680852059050261	0.00822580097404384	0.00918742322632534
45	0.00231736713410581	0.00453222482586625	0.00740032653315048	0.0202550794755006	0.0164511247471427	0.0165845878406466	0.0388721088557931	0.000570994962697326	0.00147147643423683	0.00263174042813228	0.00463327525276816	0.00682937523909751	0.00824365201707643	0.00921556755860909
46	0.00212831965855751	0.00390193269117583	0.00656570830455444	0.0204663704322403	0.0172357542445188	0.016072283809853	0.0367726551082405	0.000571997444755766	0.00147598658774579	0.00263880136808124	0.00464529632347821	0.00684901039020428	0.00825960522838907	0.00924214738616134
47	0.00197677593825052	0.00358012046596427	0.00623751914460986	0.0209906757141993	0.0186000051910183	0.0160891591415724	0.034155631745229	0.000572926878478469	0.00148018899389083	0.00264542480568727	0.00465632557028429	0.00686739694670449	0.00827346259769221	0.00926718367702088
48	0.00189745477891954	0.00329882166071894	0.00590550493388771	0.0210717470077916	0.0198891135292299	0.0166193066603771	0.0309134990395706	0.000573770254912262	0.0014840909760931	0.00265170600947506	0.00466637875142576	0.00688443436942881	0.00828565962673414	0.00929075340333952
49	0.00182573232627113	0.00300004231516262	0.00563942674940634	0.021069827847582	0.0214911182312464	0.0176132618685403	0.027266685733335	0.000574543880085299	0.00148769952508583	0.00265756864968777	0.0046757008717018	0.00690016311559001	0.00829652732977697	0.00931350980258426
50	0.00181480847803197	0.00286407315805376	0.00567359740063209	0.0209157463415745	0.0228781702219557	0.0190026830448843	0.0236525930644488	0.000575237282860283	0.00149113821557514	0.0026629716002702	0.00468471638927048	0.00691440264372108	0.00830619602985931	0.0093352069646895
51	0.00177888267146664	0.00273643815754724	0.00574863416278183	0.0205491506952873	0.0234493249021149	0.0203190323665021	0.0203183806078958	0.00057582536891783	0.00149441151736547	0.00266793558584626	0.00469371515465554	0.00692706427857576	0.00831450014918346	0.00935578210882924
52	0.00176032555009159	0.00259234200375341	0.00573425202117702	0.0200325154830087	0.0235575548158344	0.0216352750214489	0.0178988622170765	0.000576351386421178	0.00149744071035831	0.00267257302226065	0.00470274111397093	0.00693875405004869	0.00832089972493176	0.0093754148628368
53	0.00170847835977608	0.00240529836145396	0.00578170535560067	0.0192899775828417	0.0233338361576637	0.0229986225268591	0.0154473628856119	0.000576856587095612	0.0015003291805446	0.00267689589197509	0.00471169532594857	0.00695013905553658	0.00832445391097371	0.00939357150224312
54	0.00165097880974902	0.002229906109684	0.00582967510698213	0.0182239927691791	0.0230821440070962	0.0252700397880419	0.0144164656055582	0.000577339643654356	0.00150309982146163	0.00268109927243746	0.00472031930796836	0.00696143336225603	0.00832502811868081	0.00940909369411231
55	0.0015483384275477	0.00200310552245392	0.0057621231932667	0.0172775827342913	0.0228713902880776	0.0276654445080614	0.0142115918892701	0.000577805048572947	0.00150574309295011	0.0026851299890811	0.00472862984230565	0.0069726678820683	0.00832342004360629	0.00942227011699548
56	0.0014617067504243	0.00181906325422599	0.00585537090227241	0.0166329050057252	0.0223392514061862	0.0294776525915763	0.0144186348015418	0.000578240764511384	0.00150829546092177	0.0026892438562898	0.0047365220269531	0.00698364575315395	0.00832012290138468	0.00943295963537956
57	0.00142351325282462	0.00186229579621036	0.0062111003161951	0.0163370888764819	0.0216453232727551	0.0307297515023393	0.014812012067224	0.000578621221671746	0.00151078556573833	0.00269343638082672	0.00474406628225912	0.00699400547662169	0.00831588843891315	0.00944146412489723
58	0.00148482795738635	0.0022036005311021	0.00679945640952695	0.0165074143172041	0.0210960613635405	0.0310711981675346	0.0146244159522915	0.000578943557582777	0.00151315638993726	0.0026975230095402	0.00475136314140323	0.00700361221038047	0.00831116313449236	0.00944824936796573
59	0.00145154187598697	0.00242202920240015	0.00723371369732761	0.0165443410144316	0.0202866140748486	0.0312249569544638	0.0150738320333674	0.000579186220595955	0.00151544366482749	0.00270134741560957	0.00475840658469707	0.00701229686623792	0.00830580768542076	0.00945381988587804
60	0.00138599715845801	0.00255668230093783	0.00749693027616184	0.0167099225239877	0.019306687491496	0.0309678429438207	0.0166624281305415	0.000579364287063109	0.00151763745301011	0.00270470259646783	0.00476513943974574	0.00702003683020013	0.00830008404467584	0.00945851093370009
61	0.0012951508653845	0.00259387000622648	0.00785687126983873	0.0168440217789767	0.0178280914266705	0.0303810140914755	0.0182883904896007	0.000579477523497325	0.00151977468808351	0.00270767582088175	0.00477152051618017	0.00702696166353278	0.00829405634061092	0.00946282666289947
62	0.00117994285090121	0.00244274924135972	0.00787549312972346	0.016684746066977	0.0157596345927521	0.0290806621824771	0.0199735497207327	0.000579537557166378	0.00152183071499752	0.00271050712344472	0.00477765659895132	0.00703320204958416	0.00828787211488312	0.00946663393790479
63	0.00101397122420915	0.00225506166891843	0.00847922440765075	0.0175470796429733	0.0140180171651794	0.027197937960884	0.0211248671991947	0.000579556599121919	0.00152381042801197	0.0027133934060978	0.0047836946943432	0.00703891064508381	0.00828168995886579	0.00946988447830131
64	0.000960096102434601	0.00207496963537782	0.00879279441269399	0.0181499524815561	0.0126877424596369	0.0254232294295749	0.0212434659218533	0.000579541439320555	0.00152569783937127	0.0027163418891986	0.0047895533113585	0.00704430465007562	0.00827593138620518	0.0094725424694777
65	0.000966864790977535	0.00191321383807156	0.00871091886593261	0.0179732006091617	0.0105332410646949	0.02242240225769	0.0198188059537178	0.000579494429654041	0.00152749452774584	0.00271932497478916	0.00479527017669696	0.0070490831341316	0.00827046664783756	0.00947415780307859
66	0.000919755286760862	0.00179821955052369	0.00872687017392962	0.0181895928173775	0.0108992354168113	0.0226216404846813	0.0189950869676	0.000579443768702244	0.00152920219726808	0.00272227637699095	0.00480101824265959	0.00705325033143436	0.00826523139145031	0.00947469228217955
67	0.000891602621904207	0.0017695836378392	0.00859319107727386	0.0177902395259372	0.0101942486710982	0.0225755626590575	0.0184583256594284	0.00057940232745535	0.00153081565147653	0.00272510664087628	0.00480682305380199	0.00705702803635767	0.00826029105927779	0.00947425835463388
68	0.000914739753675896	0.00201793613623401	0.00837656284622663	0.0169273834528284	0.00799687688570606	0.0211169204762929	0.0178632837163756	0.00057938142770648	0.00153229478922483	0.0027277809402824	0.00481262424918973	0.00706048075077002	0.00825576782549507	0.0094733853847673
69	0.000962687502321747	0.00210736493657092	0.0082864743029575	0.0161935538128863	0.00498330003618505	0.0197676147297598	0.0174081540855445	0.00057939890106716	0.00153368190518988	0.0027303270957061	0.00481837590046891	0.00706354582307418	0.00825182842663007	0.00947260828852813
70	0.000939833300675223	0.00192565305873491	0.00816972867017014	0.0157792265262599	0.00260128519966542	0.021679404685508	0.020396509991019	0.00057945878387901	0.00153501395321683	0.00273282293194335	0.00482412740311564	0.00706686682705997	0.00824844578107795	0.00947199147941198
71	0.000892948011350074	0.00176360231603165	0.00798199523647585	0.0155450466338464	5.21793042507386e-06	0.0239763250613441	0.0247516636822766	0.000579532917489905	0.00153630385744037	0.00273530610992184	0.00482968475354062	0.00707058271710628	0.00824559188400021	0.00947144211360137
72	0.000869252143146045	0.00181737405563788	0.0074756802574762	0.0147133943017799	-0.00258497740440081	0.0255007235042377	0.0285729455680201	0.000579609162468963	0.00153751918638374	0.00273775889034662	0.0048350300580095	0.00707474314842759	0.00824312951094943	0.00947106444654117
73	0.000894476318672954	0.00196072448273714	0.00678333107346282	0.0133304025174297	-0.00450633148874606	0.0268500649709298	0.0317401243287007	0.000579683955197472	0.00153865230728255	0.0027401500872581	0.00484022541121704	0.00707920121331207	0.00824090402411695	0.00947100670095821
74	0.00101551980579548	0.00209047741403621	0.00669125273434684	0.0130669174622264	-0.0049783789678696	0.0287805339103477	0.0342154473652287	0.00057975679721635	0.00153973985419756	0.00274246267042454	0.00484529247923209	0.00708387969039007	0.00823885486264078	0.00947121206679364
75	0.00111481576740836	0.00201627933109264	0.00686685331915225	0.0142761682050056	-0.0037806483116903	0.0308913016376644	0.0363204428071731	0.000579821128698258	0.00154080814545172	0.00274472283077781	0.00485016781637305	0.00708873854495826	0.00823697080128563	0.00947161772946435
76	0.00117229682074259	0.00183818361164152	0.00675052420983261	0.0152533640076856	-0.00225331793738062	0.0320542098199349	0.0372886821157543	0.000579876199418071	0.00154186562448461	0.00274694666812106	0.00485488486129279	0.00709379618957263	0.008235295427463	0.00947251186585007
77	0.00117604814843078	0.00178618852603361	0.00641483080688189	0.0148656972188706	-0.00144829999666034	0.0319148343399669	0.0360121790132365	0.000579941127441969	0.00154292680457209	0.00274926548068259	0.00485956360245946	0.00709896012694485	0.00823391799259016	0.00947366722843985
78	0.00115892170432055	0.00187135494178601	0.00603378290218313	0.0145927146980856	0.000288521942911395	0.0315274012240889	0.0347493832838182	0.000580002317690101	0.0015440410336979	0.0027516872424556	0.00486435237428483	0.00710425965138469	0.00823286335602198	0.00947470426979815
79	0.00110997318777239	0.00194194478324053	0.00565288630592833	0.0159672544524297	0.00347920407782401	0.0295854119770312	0.033222442495208	0.000580062749931768	0.00154519901098292	0.00275407591809466	0.00486924249943318	0.00710995152099113	0.00823228908368995	0.00947630476912465
80	0.00099803518775417	0.00187998016957156	0.00540579318584312	0.0180552697889497	0.00698444298574951	0.026786937900933	0.0311329867015986	0.000580133981520305	0.00154638787237552	0.00275650346171838	0.00487422881905385	0.00711618946435344	0.00823242167319286	0.0094795024307113
81	0.000955281589589251	0.0020717638533241	0.00546472379587488	0.0192444426128373	0.00947846236541926	0.0238915254345752	0.0284433226417247	0.000580236143868281	0.00154759129697813	0.00275892339492689	0.00487928875111862	0.00712278294786879	0.00823326086423803	0.0094845829329886
82	0.000910996372752289	0.00235245549857932	0.00561107121550765	0.0196972295456277	0.0108716585220288	0.0206087071412611	0.0251934627481113	0.00058038734972227	0.00154880944830044	0.00276123371568337	0.0048843465646313	0.0071296737621167	0.00823460109548312	0.00949074824680396
83	0.000879374388307749	0.00255435191724104	0.00532344841324702	0.0194662492750776	0.0116217917522909	0.0170920841753855	0.0235985952260041	0.000580560721285766	0.00155011263429351	0.00276343618715123	0.00488932125391601	0.0071367051934443	0.00823616247777927	0.00949757466965488
84	0.000899247047633979	0.00278751598013981	0.00473188057984076	0.0186827777755462	0.0119912459565865	0.0135776270913487	0.0236718287749143	0.00058072605393239	0.00155143992647744	0.00276549108128237	0.00489420952109786	0.00714375098348271	0.00823777976452968	0.00950471344583372
85	0.000954240139651026	0.00312264022270789	0.00469454828260375	0.018192072821915	0.0119324215503217	0.0106193658975219	0.023149063305676	0.000580872753794002	0.00155282801292231	0.00276745634404908	0.00489882010651269	0.00715058930669559	0.00823934580008124	0.00951195009628399
86	0.00106639273135248	0.00364312106781331	0.00495214280041367	0.0174197049406761	0.0114499814880836	0.0084925033113244	0.0230923526772515	0.000580992210828786	0.00155422323488548	0.00276941006207432	0.0049032489210945	0.00715707290996248	0.00824075431718303	0.00951913396245013
87	0.00111664034849529	0.00394628476295092	0.00495648960665426	0.0161754511385387	0.010347424304203	0.00653865880050922	0.0222483103074631	0.000581109428923116	0.00155556047392479	0.00277132382575736	0.00490746517998757	0.00716322227441366	0.00824207551855347	0.00952613031288454
88	0.00118080099969027	0.00394140988793071	0.00465771937437892	0.0145989147677191	0.00871444891841966	0.00475170414617434	0.0208543752674224	0.000581235111764127	0.00155687192914977	0.00277316806923533	0.0049114493545	0.00716905495483093	0.00824329967739604	0.00953305582539502
89	0.00125717920164353	0.00385075399680725	0.00414952018934656	0.0129060071250566	0.00727119487244746	0.003572356974001	0.0193448400089702	0.000581369283383373	0.00155807177061841	0.00277492608992207	0.00491515440388683	0.00717449094908753	0.00824452525549209	0.00954058190039015
90	0.0012619209245315	0.00355478792955961	0.00362029487302119	0.0115668299004761	0.00624619169416581	0.00274533760968732	0.0174241806630904	0.000581505819012957	0.0015591212643224	0.00277655053844295	0.00491867453553951	0.00717968412628167	0.0082459004116065	0.00954873217345901
91	0.00129889772936281	0.00338634652590052	0.0036014654678787	0.0110586159560417	0.00561585634433517	0.00221038821587459	0.0158622179096568	0.000581633177252535	0.0015600557803195	0.00277805385038784	0.00492206265486101	0.00718481216225185	0.00824794037722418	0.00955623168893923
92	0.0013255728352167	0.00332565024135008	0.00397795672359512	0.011399841964277	0.00580614198329016	0.00209103331387979	0.0143767215507286	0.000581757607524744	0.00156081822967381	0.00277943115671697	0.00492499785890847	0.00718954396314987	0.00825059552250372	0.00956430098533757
93	0.00129826369589734	0.00317371670649445	0.0043013243722015	0.0116464475504298	0.00609040366053185	0.00250697463628045	0.0131079623609922	0.000581879033801888	0.00156143209536775	0.00278078140661651	0.0049274295330134	0.00719408671171558	0.0082530478782627	0.00957282359133943
94	0.00131518096500801	0.00287956049385766	0.00430697214570178	0.0117267067405481	0.00585879492239075	0.00257342636287379	0.0118548741025185	0.000581987235583637	0.00156189588790072	0.00278219179661198	0.00492931643572513	0.00719868369730294	0.00825444967666207	0.00958200858295521
95	0.00133660971585712	0.00246084171065464	0.00400128828803319	0.0113046038038107	0.00510441360835103	0.00262610760710089	0.0105919055722476	0.00058207029152036	0.00156228649893332	0.00278369158541191	0.00493083063079589	0.00720355569623603	0.00825544449092707	0.0095913470962336
96	0.00137975942331171	0.00214048040044546	0.00392024208097851	0.0113525958826091	0.00469527416379853	0.00303625231930531	0.00998269916165711	0.000582097379745968	0.00156256122767633	0.00278530775834657	0.00493221153285407	0.00720922440288552	0.00825621927047581	0.00960049360407278
97	0.0014087167474235	0.00197239151873749	0.00393477370114024	0.0113340790529211	0.00439503689577142	0.00372991810545845	0.00998705908353721	0.000582044498406162	0.00156277921923025	0.00278694565612041	0.00493350381051454	0.00721582554600221	0.00825710201206914	0.00960909629576988
98	0.00139332265025385	0.00165771451502799	0.00361885556373593	0.0109248461769855	0.00366232466433912	0.00412777230667425	0.00984741755120578	0.000581896211009061	0.0015629339074891	0.00278860658119409	0.00493493351591694	0.00722334230645859	0.00825750877441549	0.00961691711542785
99	0.00132351404124203	0.00154186194559691	0.00370596658325018	0.0105854249270881	0.0028432306963243	0.00463296492915918	0.0102115884594113	0.000581602432967415	0.00156309959306345	0.00279030970675748	0.0049362841340272	0.0072318914624205	0.00825713472457325	0.00962356372390454
100	0.00114921392178543	0.00157007716535009	0.00397041369034842	0.0102431073614144	0.00240806290897713	0.00538112678515617	0.0105422771972692	0.000581155674284764	0.00156331681364515	0.0027921811778851	0.00493760817506191	0.00724185074464587	0.00825618315652163	0.00962900626214716
