lagtime	NRF_p<3.235|antQ0.0221-0.1	NRF_p=3.235-6.47333|antQ0.0221-0.1	NRF_p=6.47333-9.8325|antQ0.0221-0.1	NRF_p=9.8325-13.285|antQ0.0221-0.1	NRF_p<3.11|antQ0.1-0.2	NRF_p=3.11-6.22|antQ0.1-0.2	NRF_p=6.22-9.3375|antQ0.1-0.2	NRF_p=9.3375-12.535|antQ0.1-0.2	NRF_p<3.11|antQ0.2-0.4	NRF_p=3.11-6.22667|antQ0.2-0.4	NRF_p=6.22667-9.3525|antQ0.2-0.4	NRF_p=9.3525-12.805|antQ0.2-0.4	NRF_p<3.5|antQ0.4-2.86	NRF_p=3.5-7.01333|antQ0.4-2.86	NRF_p=7.01333-10.545|antQ0.4-2.86	NRF_p=10.545-14.1|antQ0.4-2.86	se_p<3.235|antQ0.0221-0.1	se_p=3.235-6.47333|antQ0.0221-0.1	se_p=6.47333-9.8325|antQ0.0221-0.1	se_p=9.8325-13.285|antQ0.0221-0.1	se_p<3.11|antQ0.1-0.2	se_p=3.11-6.22|antQ0.1-0.2	se_p=6.22-9.3375|antQ0.1-0.2	se_p=9.3375-12.535|antQ0.1-0.2	se_p<3.11|antQ0.2-0.4	se_p=3.11-6.22667|antQ0.2-0.4	se_p=6.22667-9.3525|antQ0.2-0.4	se_p=9.3525-12.805|antQ0.2-0.4	se_p<3.5|antQ0.4-2.86	se_p=3.5-7.01333|antQ0.4-2.86	se_p=7.01333-10.545|antQ0.4-2.86	se_p=10.545-14.1|antQ0.4-2.86
20	0.000787247486914496	0.00434951926692206	0.00886772124734296	0.00295458709061412	0.00461156101981937	0.00837468232108276	0.0107163324177165	0.0260711766474412	0.00769388420093406	0.0210167731954035	0.0362793228134321	0.0530811503075085	0.0126121185337538	0.0372206387958079	0.0540876898137848	0.050611088225036	0.000573719823205426	0.00169946792571258	0.00375485925616937	0.0061628921773408	0.000522780513632552	0.00122836867607994	0.00267632724417551	0.00508089274133155	0.000620527260660953	0.00131477271617231	0.00264890320098766	0.00462431741406624	0.00111395550295119	0.00184156453398605	0.00376874268477517	0.00526473391652227
21	0.00025893797500516	0.0030751923354586	0.00630495967555655	0.00162197302329374	0.0041293682078993	0.00842319782470371	0.0116142924255876	0.0216316823292223	0.00718474502747841	0.0188546038127607	0.0353358600339251	0.0557833367937053	0.0131860961179457	0.0347722576836197	0.0482244835568029	0.0477187739759298	0.000575520439743752	0.00170741169836735	0.00377524304971125	0.00619407341508792	0.000523934533206983	0.00123406406669927	0.0026893803348692	0.00510620057454437	0.00062147862454834	0.00132078162138544	0.00266210940376375	0.00465350779546784	0.00111475708983313	0.00184580025158664	0.00378512668312328	0.00528532292049648
22	0.000236418290633856	0.00248942251379132	0.0042477334919723	-0.00185907430821944	0.00449113032027585	0.00785357861495394	0.0104081466826823	0.0224467702200606	0.00701079420311196	0.017268026532663	0.0363595413029673	0.0589004455744551	0.0123099691374568	0.0324500875172526	0.0431909195882188	0.0453753819810174	0.000577041824329441	0.00171469509732654	0.00379302287731965	0.006221815374591	0.000524923568604988	0.00123883012835081	0.00270087718868607	0.00512839011585126	0.000622238521625867	0.00132589425609375	0.00267390625500488	0.00467814017904012	0.00111443170289272	0.00184993554427468	0.00380037779840921	0.00530303977033417
23	0.000615444090021184	0.00209594659863613	0.00195806067267626	0.0011676360543025	0.00403061646953801	0.00721712444565969	0.00939111293268891	0.0253601730028571	0.00696785869464234	0.0155872316946763	0.0366439043040733	0.0649159827027064	0.0116836008187962	0.0312358539033758	0.0390960815090432	0.041684220333846	0.000578235564406722	0.00172139132945547	0.0038089560849847	0.00624639070734149	0.000525765039447703	0.00124292974344902	0.00271119687127262	0.00514798802067391	0.00062288459849123	0.001330536588555	0.00268455758677042	0.00469733710230517	0.00111396773417604	0.00185353800328117	0.0038137880495351	0.00531878368292773
24	0.000151899434775515	0.00148516635775808	0.000445032471935066	0.00182418299982133	0.00375528380461513	0.00770215692892587	0.00981195714021482	0.0244302674232105	0.00693819097737858	0.0147053793746637	0.0353869668951534	0.0690288799746416	0.0113106929850301	0.0304358439525067	0.0385426599702245	0.0373372137856335	0.000579276557308021	0.00172719932368815	0.00382228802108512	0.0062677041944169	0.000526539349379454	0.00124636973431629	0.00272043435843533	0.00516525956122204	0.000623428065999805	0.00133483769622357	0.00269376039932577	0.00471350300190709	0.00111434248807145	0.00185444357262344	0.00382549586049582	0.0053326761051532
25	0.000287951986751619	0.00126521576584067	0.000757787653918048	-0.00126045706462554	0.00341650395904112	0.00758328265298624	0.00742634752046342	0.0191686718236711	0.0064080215073541	0.0133707480661452	0.0326587613475337	0.0702558324604971	0.0103452833140643	0.0288441169822471	0.038265908836716	0.0334096755241345	0.000580110422098166	0.00173187809358966	0.00383359262382206	0.00628657181045424	0.000527233527747109	0.00124933687424376	0.00272785666016477	0.00518015622644856	0.000623988990335624	0.00133861803572752	0.0027017300191278	0.00472746849143324	0.00111477124994409	0.00185383962446183	0.00383669757459537	0.00534423745130389
26	-6.71624697285208e-05	-5.08662511920953e-05	0.000814489356707334	-0.00521562682281224	0.00355109740518023	0.00785605524121397	0.00563126426815037	0.0144133927023496	0.0060577209976574	0.0126977079670765	0.0312210311620398	0.0696559153311064	0.00953092714397646	0.0264923480041613	0.0370222726019886	0.0329388335616085	0.000580864689213026	0.00173559772444288	0.0038436594385884	0.00630090148133484	0.000527802230855286	0.00125184043457971	0.00273418858318716	0.00519314049500275	0.000624546981474097	0.00134161904784979	0.00270833076168048	0.00474030408059507	0.00111448015633047	0.0018526174171844	0.0038470266060795	0.00535447381902511
27	-0.000792492996745454	-0.000283188229496794	0.00158756070098145	-0.00860069748292049	0.00358318668555568	0.00829015502888253	0.00473177169217011	0.00952171808011635	0.00591415611995731	0.0134841106223226	0.0321374895739451	0.0694544165275322	0.00926090069362064	0.0243223354276621	0.0359508753718072	0.033887636690471	0.000581632618097716	0.00173890852322509	0.0038521544757839	0.00631239294030376	0.000528250083915867	0.00125396956930567	0.0027398176029101	0.0052041954685624	0.000625003595646059	0.00134397546872544	0.0027138616624718	0.00475079909076746	0.00111359778084238	0.0018515245764786	0.00385592508920185	0.0053635182513726
28	-0.00136389629794923	0.00102497652115084	0.00134132401517415	-0.0125973430987128	0.00342848592154577	0.00862244553831666	0.00396929522682476	0.00647072967322224	0.00591529709052073	0.0136368861887801	0.0321717259018011	0.0682047481374686	0.00995744204310637	0.025236487379055	0.0362231815417814	0.0339318742851416	0.000582305842930233	0.00174192817657242	0.00385945739353124	0.00632246440790224	0.000528650094880128	0.00125580519964749	0.00274477619888112	0.00521318348152948	0.000625344591488063	0.00134601069599016	0.00271888285144993	0.00476064484402709	0.00111293092842678	0.00185115928648259	0.00386341670726399	0.00537185249199383
29	-0.00166985387104514	0.0023105246687532	0.000831983696420254	-0.0186271244181056	0.00359416706289733	0.00951197825385464	0.00402826698728195	0.00507341626836377	0.00590938626899257	0.0136408580730029	0.0314749315014947	0.0646921268994613	0.0114674224721783	0.0254622326608377	0.0355398121811059	0.0345252154296085	0.000582886652662691	0.00174464073574468	0.0038659617340232	0.00633178426423835	0.000529098134919534	0.00125746815984997	0.00274921945471907	0.00522097220230486	0.00062560554264221	0.00134796920359824	0.002723415843962	0.00477036756132319	0.00111179585957226	0.00185033343766625	0.0038701628377279	0.00537828165627797
30	-0.00206007714008464	0.00320763710330472	0.00126327838537314	-0.0221487411893119	0.00303246146988197	0.00921234619497063	0.00554622603800769	0.0146949991230361	0.00609836385909899	0.0139091242358325	0.0316156393960201	0.0599352403610331	0.0110268696801895	0.0235113657236178	0.0334392898240478	0.0296000465731982	0.000583342639772761	0.00174705939516096	0.00387172329173244	0.00634021397885306	0.000529468736510094	0.00125898987946822	0.00275336981692924	0.00522786346995962	0.000625897647275124	0.00134982674557962	0.00272758409562614	0.00477991836585981	0.00111064118132086	0.00184926258208026	0.00387666996755039	0.00538405064275252
31	-0.00175890050853576	0.00497500720061258	0.00280727191870036	-0.0231210356266214	0.00242664724743737	0.00861213676553435	0.00555936701560541	0.0146583003178727	0.00603312333548589	0.0137470505879811	0.0298185613334314	0.0547399163881674	0.0102003558761083	0.0215245123886474	0.030873844802113	0.0272776809734345	0.000583761847897911	0.00174922065937869	0.00387679356945334	0.00634774066846023	0.000529815603499562	0.00126026740579143	0.00275703503810832	0.00523397724716314	0.000626021486357288	0.00135130688572765	0.00273125572885108	0.0047881952893501	0.00110897835761979	0.00184819914729938	0.00388237591477519	0.00538916856132505
32	-0.00207786264880897	0.00472849576476	0.00156904741033636	-0.0242392151989817	0.0021979446761705	0.00874425001625442	0.00550933028061612	0.00970086724183904	0.00580418638727618	0.0132605741744387	0.0284178191217746	0.0509218958322469	0.0103514970170538	0.022345216330996	0.0308974312148709	0.0315024756195031	0.00058425101543212	0.00175127964501464	0.00388128869627884	0.0063544547314201	0.000530177790742613	0.00126148003568782	0.00276029401066246	0.00523951312341821	0.000625888696488452	0.00135238764160938	0.00273422643240036	0.00479503542172567	0.00110752865574148	0.00184749472028069	0.00388692195800481	0.00539336147678483
33	-0.00288465378806807	0.00416957478894383	0.000865409882949982	-0.0217502180778871	0.00165736851504967	0.00829811853172741	0.00616573591943696	0.00648479367469347	0.005387894938495	0.0128290383539729	0.0275777984093704	0.0475603326945834	0.010550419182305	0.0238696555529631	0.0307096990514168	0.0331697865195673	0.000584738884936854	0.00175317144015777	0.0038854199935826	0.006360558998168	0.000530487855696727	0.00126263959152581	0.00276313297653103	0.0052444862115619	0.00062576188197126	0.00135328333466191	0.00273639628014391	0.00480056414036183	0.00110667984445166	0.00184705317477307	0.0038915896576687	0.00539712928930616
34	-0.00297028629198607	0.00384852418779972	0.00130278323356268	-0.0218607418787942	0.00153123608837885	0.00810242575078259	0.00709934997385163	0.00764422038693243	0.00478716291439292	0.0126729959294689	0.0287456420295489	0.0485239951930243	0.0104213649181561	0.0243221326314983	0.0306675498509784	0.0335529758082788	0.000585204203723268	0.00175491933336	0.00388905790435724	0.00636591007042668	0.000530735523255542	0.00126365517708833	0.002765472203065	0.00524892697949325	0.000625780086364319	0.00135409153906153	0.00273715580254594	0.00480432573319299	0.00110595726290022	0.0018459576148245	0.0038959020790187	0.0053990265094819
35	-0.00275244206790839	0.00350268434649055	0.00107298279226084	-0.0251667282928835	0.0018604223329649	0.00870159792826315	0.00840982896898366	0.0110997210248101	0.00467170561480875	0.0126650036198799	0.0286906944307458	0.0554664585959963	0.0102562931363955	0.0236679109981952	0.0297110286616871	0.0328567680068498	0.000585615389164844	0.00175655726076807	0.00389234913627655	0.00637071485146005	0.000530879040860461	0.00126441053552443	0.00276746265206328	0.00525286550552144	0.000625796075975671	0.00135456266899132	0.00273700241047387	0.00480728922875518	0.00110531955623283	0.00184407450784087	0.00389940796451701	0.00540147432081254
36	-0.00251262905693901	0.00284698040808091	-0.000238755436517909	-0.0289196491873874	0.00197627603196267	0.00837463559644306	0.00722438075833789	0.0132441612612287	0.00421191134950836	0.0118132396446535	0.0289585589650427	0.0579255093202458	0.00997544292107118	0.0218228293543015	0.0284626733855811	0.0319975469547919	0.000585970010276115	0.00175800632808807	0.0038948961905128	0.00637496111222978	0.000530763830801783	0.00126499613646475	0.00276903930314258	0.00525613372395499	0.00062575322283742	0.00135485054029136	0.00273670357416874	0.00481021702429296	0.00110478810586105	0.00184270726871924	0.00390234540929778	0.00540130888753504
37	-0.00222571415689217	0.00192467644087867	-0.00159378917720938	-0.0304950593134313	0.00264609241148951	0.00824392353331964	0.00586128055373567	0.0137203443430544	0.00418403455703376	0.0113946702267648	0.0296706623155822	0.0575362606236739	0.00956460634905533	0.0202544231071804	0.0277636510025293	0.0293642765049886	0.000586303460798694	0.00175923666645182	0.00389662690805433	0.00637858968243601	0.000530620745063001	0.00126549964700612	0.00277017836682746	0.00525917196151603	0.000625748461049553	0.00135492631531104	0.00273652368925874	0.00481357089506874	0.00110425800148092	0.00184167993317182	0.0039047595784468	0.00540049843538778
38	-0.00173853562800773	0.00174505322877957	-0.00178883591196954	-0.0299398151175632	0.00354063660047135	0.00846683847624064	0.00461991133028968	0.0154993539606909	0.00474254418001195	0.0113216725746582	0.0272235937888593	0.0525436994986572	0.00900602303556446	0.018843496360769	0.0268472848131951	0.0288324055783822	0.00058663154649838	0.00176026686606177	0.00389793287107126	0.00638182416249157	0.000530594100710367	0.00126593478339376	0.00277109367004609	0.0052621333981103	0.000625729034896585	0.00135499340180397	0.00273669761184602	0.00481685964009001	0.00110375761494902	0.00184074264253043	0.00390642864296834	0.00539968714901113
39	-0.00205598602196461	0.000521114917722132	-0.00302593035836648	-0.0306256353725518	0.00363406931742628	0.00854772957506563	0.00478743777858549	0.0157629080150552	0.00434678698783205	0.0104453758451763	0.0253761506721359	0.0448364734508727	0.0084747605465225	0.0177473842961065	0.0261465808682455	0.0278471041948399	0.000586919273100243	0.00176110868863088	0.00389897307122539	0.00638475238231413	0.000530543247764475	0.00126634832717288	0.00277190251334398	0.00526484525562209	0.00062566927583096	0.0013551126663659	0.00273712443653838	0.00482007908084187	0.00110325310936471	0.00184039492437847	0.00390767597970712	0.00539912532599968
