lagtime	NRF_p<3.235|antQ0.0221-0.1	NRF_p=3.235-6.47333|antQ0.0221-0.1	NRF_p=6.47333-9.8325|antQ0.0221-0.1	NRF_p=9.8325-13.285|antQ0.0221-0.1	NRF_p<3.11|antQ0.1-0.2	NRF_p=3.11-6.22|antQ0.1-0.2	NRF_p=6.22-9.3375|antQ0.1-0.2	NRF_p=9.3375-12.535|antQ0.1-0.2	NRF_p<3.11|antQ0.2-0.4	NRF_p=3.11-6.22667|antQ0.2-0.4	NRF_p=6.22667-9.3525|antQ0.2-0.4	NRF_p=9.3525-12.805|antQ0.2-0.4	NRF_p<3.5|antQ0.4-2.86	NRF_p=3.5-7.01333|antQ0.4-2.86	NRF_p=7.01333-10.545|antQ0.4-2.86	NRF_p=10.545-14.1|antQ0.4-2.86	se_p<3.235|antQ0.0221-0.1	se_p=3.235-6.47333|antQ0.0221-0.1	se_p=6.47333-9.8325|antQ0.0221-0.1	se_p=9.8325-13.285|antQ0.0221-0.1	se_p<3.11|antQ0.1-0.2	se_p=3.11-6.22|antQ0.1-0.2	se_p=6.22-9.3375|antQ0.1-0.2	se_p=9.3375-12.535|antQ0.1-0.2	se_p<3.11|antQ0.2-0.4	se_p=3.11-6.22667|antQ0.2-0.4	se_p=6.22667-9.3525|antQ0.2-0.4	se_p=9.3525-12.805|antQ0.2-0.4	se_p<3.5|antQ0.4-2.86	se_p=3.5-7.01333|antQ0.4-2.86	se_p=7.01333-10.545|antQ0.4-2.86	se_p=10.545-14.1|antQ0.4-2.86
20	0.00220148574643959	0.0062929225103364	0.00870486418275519	0.00624540151540198	0.00279164175980728	0.00578408517257223	0.00529975079395786	0.0197826990764187	0.0051354577644038	0.0137970259316886	0.0274807869349096	0.0482590196981503	0.0145316177532515	0.0379804840195668	0.0652586105818057	0.0540959948858377	0.000511696130608965	0.00146706966478307	0.00322684461330331	0.00529790065978867	0.000468053326887545	0.00106713380208166	0.00230472223326259	0.00436730063941071	0.000562087094991582	0.00114761076406368	0.00228794470881475	0.00398563199121208	0.00100328530749335	0.00163302935524352	0.00325460337713548	0.00458782944640121
21	0.00171749199111664	0.00512477227805518	0.00615509874392073	0.00503754953103938	0.00234228595002957	0.00587075346517894	0.00626751669489799	0.0153742791534286	0.00459678485685766	0.0116116269128583	0.0265008071845107	0.0507477235416765	0.0149543932835006	0.0352936321225699	0.0591788323906886	0.0512142954887841	0.000512317269706999	0.00146922487241596	0.00323345906201588	0.00530693450193896	0.000468412728993213	0.00106886615157231	0.00230848609969741	0.00437434934447584	0.000562246273588226	0.00114935899783784	0.00229201751537863	0.0039976882915882	0.00100300001773714	0.00163337362145672	0.00325678203254923	0.00459161676702662
22	0.00173374340481814	0.00464305608619506	0.00411924100034458	0.00166903400129559	0.00273798885422555	0.00533100869848397	0.00512318985383339	0.0162698828564564	0.00439315614081075	0.010023307689887	0.0274618535626735	0.0536375138446254	0.0139297257015506	0.0327868349817663	0.0539176237594999	0.0487703284509825	0.000512805729379413	0.00147115536962792	0.00323878633368162	0.0053145213650819	0.000468716602751707	0.00107014842174467	0.00231157577730588	0.00438007097514967	0.00056235195425614	0.00115077040360365	0.00229564356191046	0.00400733451488397	0.001001748169655	0.00163379777244948	0.00325954583543097	0.00459450326832001
23	0.00214901530894463	0.00435071784808533	0.00187571063209307	0.004851090342562	0.00230867646514094	0.00473243157681258	0.00417318905605603	0.0192967835293316	0.00434320246485703	0.00835950630884631	0.0277042424750008	0.0595033471336883	0.013139524346541	0.0313748750164975	0.04962934666036	0.0449214812891595	0.00051316276286048	0.00147290441489793	0.0032433392131695	0.00532084789068361	0.000468928880988204	0.00107114052786005	0.00231422399660216	0.00438482713812576	0.000562412961168626	0.00115212014185827	0.0022989498329236	0.00401386500754223	0.00100036015324678	0.00163360355979111	0.00326195710039318	0.00459677789379394
24	0.00172243322520441	0.00383202296471278	0.000407287246221931	0.00566996797939581	0.00205775590904112	0.0052434171094486	0.00463769086080217	0.018484473517589	0.00431448514517646	0.00749996322544849	0.0264240694770834	0.0635359375367284	0.012636606557166	0.0304370221466933	0.0489191193761725	0.0405155813465693	0.000513480087710316	0.00147431429917646	0.00324673059121484	0.00532588639923567	0.000469109751488383	0.00107181429017853	0.00231648491194325	0.00438869560715921	0.000562449552687848	0.00115346023008995	0.00230173556344024	0.00401900689093628	0.000999871080177026	0.00163085133766112	0.00326334251921745	0.00459830933317166
25	0.00189074094245365	0.00368603066983853	0.000782138515019119	0.00278521471416564	0.00175034558277985	0.00515704194304487	0.00227429797308712	0.0133381404816397	0.00379188657850374	0.00619327609586713	0.0236478661450792	0.0646905776727078	0.0115414177408299	0.0287291599444463	0.048360357026965	0.0363192831761671	0.000513718825824154	0.00147527907188702	0.0032492840456658	0.00533007758505024	0.000469319235642755	0.00107233775315619	0.00231803260169336	0.00439169316102387	0.000562554763884907	0.00115469274105507	0.00230393639099817	0.00402287693896495	0.000999457489297465	0.00162736343777996	0.00326493475735548	0.00459855806663748
26	0.00156863521855022	0.00243847228976421	0.000919756759406213	-0.000899633746243432	0.00191509480285772	0.00547138815450834	0.000520365114281941	0.00871528353667378	0.00346944462836171	0.00558352518774267	0.0222053395637082	0.0640570086137184	0.0105829929847677	0.0262386830938255	0.0468295582125239	0.0357070627397715	0.000513918144509352	0.00147590731300024	0.00325141802423251	0.00533252801774409	0.000469503987856374	0.00107274306339034	0.00231924422379984	0.00439403614234726	0.000562679658105691	0.0011556244582346	0.00230543830039436	0.0040261609577081	0.000998229932356242	0.00162402492097528	0.00326650827761096	0.00459873871508651
27	0.000882142803537305	0.0022689016919934	0.00179059403203779	-0.00395663503290186	0.0019718540826247	0.00594470628363925	-0.000325301259046585	0.00395738906018518	0.00333186039900593	0.00639592376853185	0.0231624396623188	0.0638736120623965	0.0101509340380614	0.0239109431182948	0.0454884793140407	0.03654617497362	0.000514198723767274	0.0014764987979861	0.00325300818097555	0.00533412874196994	0.000469628984558677	0.00107306248701394	0.0023202585327642	0.00439582565676718	0.000562720921113709	0.00115613752304123	0.00230638927759656	0.0040275504644458	0.000996509354157818	0.00162104690174527	0.00326751949801478	0.00459900185343143
28	0.000351416804263088	0.00363674568935858	0.00164714953191732	-0.00761028939592748	0.00184318640972361	0.00629889302104946	-0.00108812896431588	0.00102804726831553	0.0033314366121731	0.00659037534419151	0.023239560515413	0.0625983248434555	0.0107255339575482	0.0247228383746938	0.0454714126378667	0.0364787861097661	0.000514493291023724	0.00147710853273332	0.00325423617134856	0.00533550578371926	0.000469763351878164	0.00107334331997411	0.00232109358759636	0.00439706854485194	0.000562726942953273	0.00115641120330637	0.00230714845958602	0.00402898254975106	0.000995199029531859	0.00161873385954221	0.00326794597284392	0.00459952698459724
29	8.29926837523746e-05	0.00497404518189963	0.00125567351389767	-0.0132754799129897	0.00202794788606331	0.00720873157823536	-0.0010205424969807	-0.000228463945472879	0.00329897997422532	0.0065970267056192	0.0225922034305741	0.0591728377536451	0.0121249404575297	0.0248158118950744	0.04444904482021	0.0369330961989691	0.000514781376498635	0.00147770777444184	0.00325532383755394	0.00533699323705106	0.00046999729356532	0.00107368097177159	0.00232182042974342	0.00439810771503377	0.000562737662790068	0.00115659098496388	0.00230776069896723	0.00403124915380533	0.000993499212238649	0.00161618220730686	0.00326818217414313	0.0045997272234356
