lagtime	NRF_p<1.875|antQ0.00876-0.1	NRF_p=1.875-3.83333|antQ0.00876-0.1	NRF_p=3.83333-5.8125|antQ0.00876-0.1	NRF_p=5.8125-7.875|antQ0.00876-0.1	NRF_p<1.875|antQ0.1-0.2	NRF_p=1.875-3.75|antQ0.1-0.2	NRF_p=3.75-5.625|antQ0.1-0.2	NRF_p=5.625-7.625|antQ0.1-0.2	NRF_p<2|antQ0.2-0.5	NRF_p=2-4|antQ0.2-0.5	NRF_p=4-6.09375|antQ0.2-0.5	NRF_p=6.09375-8.3125|antQ0.2-0.5	NRF_p<1.875|antQ0.5-1	NRF_p=1.875-3.75|antQ0.5-1	NRF_p=3.75-5.625|antQ0.5-1	NRF_p=5.625-7.5625|antQ0.5-1	NRF_p<2.3125|antQ1-20.2	NRF_p=2.3125-4.66667|antQ1-20.2	NRF_p=4.66667-7.125|antQ1-20.2	NRF_p=7.125-9.5625|antQ1-20.2	se_p<1.875|antQ0.00876-0.1	se_p=1.875-3.83333|antQ0.00876-0.1	se_p=3.83333-5.8125|antQ0.00876-0.1	se_p=5.8125-7.875|antQ0.00876-0.1	se_p<1.875|antQ0.1-0.2	se_p=1.875-3.75|antQ0.1-0.2	se_p=3.75-5.625|antQ0.1-0.2	se_p=5.625-7.625|antQ0.1-0.2	se_p<2|antQ0.2-0.5	se_p=2-4|antQ0.2-0.5	se_p=4-6.09375|antQ0.2-0.5	se_p=6.09375-8.3125|antQ0.2-0.5	se_p<1.875|antQ0.5-1	se_p=1.875-3.75|antQ0.5-1	se_p=3.75-5.625|antQ0.5-1	se_p=5.625-7.5625|antQ0.5-1	se_p<2.3125|antQ1-20.2	se_p=2.3125-4.66667|antQ1-20.2	se_p=4.66667-7.125|antQ1-20.2	se_p=7.125-9.5625|antQ1-20.2
15	0.00041060103474384	-0.00189011189343689	-0.00626020502999448	-0.00344299381698016	0.00360712452732665	0.0126528583170538	0.031682498738308	0.029146963916268	0.00771160967307002	0.0259311441835481	0.0374122551092924	0.0574833502043626	0.013344828711567	0.0427224390113662	0.0599175763718533	-0.0155336543262443	0.0258794915497648	0.0288895525460595	0.0506693166854128	0.0645422553773508	0.00112811097651646	0.00271041483540308	0.00511160690858396	0.00892638154648191	0.00110952369195756	0.00256794952252226	0.00573836609533022	0.00886871277824038	0.000972173091935221	0.002384516981457	0.0043895740750884	0.00730246081379657	0.00158099917891519	0.00331489937379124	0.00554363094179642	0.00931307010283873	0.00250577318602943	0.00324494876237954	0.00491598021286937	0.00686663415681033
18	0.000966667496825064	-0.00260510967667815	-0.00683030971564293	-0.00187868605263865	0.00424968517756103	0.0129602117596945	0.0248912049369278	0.0230111370787768	0.00653242140878797	0.0231995740448927	0.0269851162308653	0.0460262361767644	0.0116090817121003	0.0337826324923521	0.0516916464867675	0.0140041318079538	0.0186125780544798	0.0164148835663918	0.0396757706894969	0.0485654161831352	0.00109440691782622	0.0026657081825761	0.00506599533322424	0.00889710010120017	0.00107843006090926	0.00252657750051509	0.00570943621239412	0.00884677293922585	0.000944092298672547	0.00236487356566446	0.00437316446559393	0.00726847305248827	0.00154623476317251	0.00328196408612627	0.00552241402014719	0.00931457898288905	0.00245897744022796	0.00314487195818189	0.00486204376307664	0.00669252845906852
21	-3.41106452000006e-05	-0.00205300810785267	-0.00485458942483621	-0.00264000279173491	0.00385871980714805	0.0111663985172683	0.0210163262752064	0.0131618273974333	0.00703604750701472	0.0216710216038027	0.0240929413585387	0.0426522349925728	0.00906493092384344	0.0283204793821236	0.0518693140982022	0.0306519834475541	0.0235726038970422	0.0185747099584505	0.0230930173979958	0.0334756279981127	0.00106287675570471	0.00262110984011046	0.00501948397673011	0.00885944530316218	0.00104413947513037	0.00248517417711403	0.00567654795274405	0.00881327146540643	0.000916570511642451	0.00234095451061612	0.00435168445739918	0.00722768258031713	0.00150723657010083	0.0032478765185024	0.00547751692140234	0.00926997246982578	0.00240123104353378	0.00303369867514624	0.00474685085117435	0.00651835310766661
25	0.000518361127319748	0.000438451351269898	-0.00192594487666181	-0.000504185005889312	0.00297048860492488	0.00647635440053873	0.0148302763163575	0.0196011682842373	0.00561969709228546	0.0160857669279656	0.0229701827067867	0.0445368022516434	0.00831043103791276	0.0147374148660671	0.0289382389140265	0.0173127922494637	0.0185138044149104	0.00446634328708904	0.0173490087343523	0.028098849771813	0.00103692397077161	0.00258606009424765	0.00497360224664705	0.00882992880326447	0.00101323832115699	0.00245397067187497	0.0056539282464156	0.00878278170448384	0.000892747837000174	0.00231985987064418	0.00432953710496196	0.00721281736609667	0.00147578353785198	0.00320415052926775	0.00541627614590001	0.00920844563404689	0.00234932561337428	0.00294392837511563	0.00464681984628239	0.00636639935541752
29	-0.00038672934919707	-0.00123709265624642	-0.00122297958536156	0.00823050150578187	0.00433363663660353	0.00972831901429722	0.0179823471172117	0.0214335333802219	0.00574504708988926	0.0156757479806524	0.0197654613494004	0.0351904745271153	0.0069092134425526	0.0220386348314156	0.027636129828203	0.0161491940360909	0.00835207535124517	-0.00699811248515852	0.0076103606886993	0.00746046933687815	0.00101213618247316	0.00255793240752272	0.00493659774336793	0.00880868576790959	0.000988723904347605	0.00242620526800319	0.00562221777595067	0.00874915550330501	0.000871986953281986	0.00230427537726275	0.00430159844715044	0.00720116078075536	0.00144109583548189	0.00317052045573175	0.00538356695039338	0.00918223044404556	0.00228123665626329	0.00283100077115793	0.0045370258123469	0.00622296356074
34	4.29956946147443e-05	0.00237995702170769	-0.00104732069042895	-0.00262052732581659	0.00340604968743634	0.00691623105573013	0.025804526443117	0.0286498418081678	0.0045260965525998	0.0132504894000625	0.0196539097701828	0.0184742965971475	0.00602597062542074	0.021798256093479	0.0384883812821109	0.0212834702733139	0.0108603637274089	0.000246309135958269	0.00341843046213215	-0.00189438646300313	0.000971890694472093	0.00251255320102861	0.00485991777544844	0.00871199977024671	0.000951085851780351	0.00238544036097276	0.00558093391946096	0.00866859180651503	0.000835961935206682	0.00226632826941225	0.00425614270700173	0.00713590761278274	0.00138433979572017	0.00311097003277391	0.00530080216691906	0.00911165018124589	0.00218035410673084	0.00265254480131163	0.00438599694280884	0.00601824497665007
40	-0.000284908560914657	0.000115310478009721	-0.00325318347789173	-0.00235680469414768	0.00244812578356798	0.00723221232948912	0.020180476146408	0.0192094415648983	0.0031683868133407	0.00673291743001809	0.0178268292987653	0.0152967574515191	0.00727778057344643	0.00744962251241676	0.0350992062581845	0.0195064405704053	0.0130337371468967	-0.00154509882622969	-0.00215163164008299	0.00564391160131612	0.00093649089675001	0.0024681619137078	0.00478953138176816	0.00862022532178854	0.000919871976144788	0.00235114699800639	0.00557190188878059	0.00860909874904301	0.000805552092159608	0.00223403816112045	0.00421394573019348	0.00707584446111474	0.00133035822330306	0.00303870997962135	0.00522773285744214	0.008998656567385	0.00210132429407683	0.00251414445529743	0.00426903217311413	0.00584075250617688
47	0.000643187291174467	0.000405307825245414	-0.00167697434824479	3.06948988810329e-05	0.00269050829700374	0.00826772193094729	0.0139818312607742	0.00879625385798085	0.00318766702401962	0.00782584886407097	0.0121027149735569	0.0149873349189656	0.00514513161061074	0.0131539722355815	0.0210583649334878	0.00563589751662125	0.0128027155383158	-0.00106810455559695	0.00680273702158577	0.018163596489839	0.000905991570516448	0.00243510825104457	0.00473562439399351	0.00854865207447103	0.000894457454846187	0.00232068059989284	0.00554113983338981	0.00854112281838592	0.000782525534863971	0.00220144904631514	0.00416042850886003	0.00704675975222839	0.00128756871903147	0.00298891144155753	0.00516562573794007	0.0089347473442093	0.00201329193743826	0.00238314531941964	0.00416071685757655	0.00567192401626973
55	0.000194799252323703	-0.000370912211628803	-0.0044646938237798	-0.00162393069488251	0.00310813357489015	0.00475409508772779	0.00681252823291803	0.00519978166357307	0.00195016126281102	0.011418179691898	0.00528628193217771	0.00514076422484244	-0.000274201068400482	0.0105442487270442	0.00866018245199975	0.00529396760558158	0.0099108758141486	-0.00641036442815294	0.000343329984963614	0.0143060133466717	0.000879316077960649	0.00241173631067506	0.00467817373060843	0.00847103154222265	0.000873594635675916	0.00229195510754891	0.00548577301289731	0.0084890498333143	0.000758458980604674	0.0021694005353333	0.0041105840381169	0.00699104401687666	0.0012473732537606	0.00291766632850127	0.0050900606897827	0.0088392691268069	0.00195077692306448	0.00227930552737854	0.00405943869675628	0.00551667835442924
64	-0.00030869740130288	0.00129163153551955	0.00108996598321961	-0.000123078317459954	0.00350479376715079	0.00390087398873611	0.0104217437134911	0.0172742955537056	0.0031579195486051	0.00837169897189198	0.00385072278686449	0.00939272836406235	8.48184916135834e-05	0.00134644530093492	0.0128500347031198	0.00701172899252925	0.00859504749368446	-0.00437789926593525	-0.000883437957123236	0.00487122469320053	0.000846707465432162	0.00236847382905895	0.00460111957534098	0.00835599828749214	0.000844777791858973	0.00225227653989108	0.00540253858155461	0.00835103233262593	0.000729162241172988	0.00213701377927416	0.0040456891285888	0.0068637576528825	0.00118866677777656	0.00285124422562533	0.00499365167099814	0.00868292528007833	0.00186251903660242	0.0021678900068315	0.00395471845436471	0.00536519086189143
