lagtime	NRF_p<2.525|antQ0.00876-0.1	NRF_p=2.525-5.08333|antQ0.00876-0.1	NRF_p=5.08333-7.6875|antQ0.00876-0.1	NRF_p=7.6875-10.375|antQ0.00876-0.1	NRF_p<2.375|antQ0.1-0.2	NRF_p=2.375-4.75|antQ0.1-0.2	NRF_p=4.75-7.125|antQ0.1-0.2	NRF_p=7.125-9.625|antQ0.1-0.2	NRF_p<2.9125|antQ0.2-0.5	NRF_p=2.9125-5.83333|antQ0.2-0.5	NRF_p=5.83333-8.8125|antQ0.2-0.5	NRF_p=8.8125-12|antQ0.2-0.5	NRF_p<2.5625|antQ0.5-1	NRF_p=2.5625-5.16667|antQ0.5-1	NRF_p=5.16667-7.78125|antQ0.5-1	NRF_p=7.78125-10.4375|antQ0.5-1	NRF_p<3|antQ1-20.2	NRF_p=3-6|antQ1-20.2	NRF_p=6-9|antQ1-20.2	NRF_p=9-12.125|antQ1-20.2	se_p<2.525|antQ0.00876-0.1	se_p=2.525-5.08333|antQ0.00876-0.1	se_p=5.08333-7.6875|antQ0.00876-0.1	se_p=7.6875-10.375|antQ0.00876-0.1	se_p<2.375|antQ0.1-0.2	se_p=2.375-4.75|antQ0.1-0.2	se_p=4.75-7.125|antQ0.1-0.2	se_p=7.125-9.625|antQ0.1-0.2	se_p<2.9125|antQ0.2-0.5	se_p=2.9125-5.83333|antQ0.2-0.5	se_p=5.83333-8.8125|antQ0.2-0.5	se_p=8.8125-12|antQ0.2-0.5	se_p<2.5625|antQ0.5-1	se_p=2.5625-5.16667|antQ0.5-1	se_p=5.16667-7.78125|antQ0.5-1	se_p=7.78125-10.4375|antQ0.5-1	se_p<3|antQ1-20.2	se_p=3-6|antQ1-20.2	se_p=6-9|antQ1-20.2	se_p=9-12.125|antQ1-20.2
11	0.00287393305937656	-0.000552581231762387	-0.012620770819693	-0.0173003695973149	0.00751699632681144	0.0188792489970921	0.0240343767591053	0.0229966655782414	0.0173517794786907	0.044980966491179	0.0798292277783626	0.103174453337266	0.0232526206196693	0.0611565682518873	0.100028531672536	0.117476587684257	0.0304960588366	0.06993843596189	0.108848083561872	0.12636312060001	0.000646643837958256	0.00181245422531889	0.00406942099042737	0.00811911860770582	0.000629598801167672	0.00165097120940858	0.00395626103781507	0.00715891082036361	0.00052437773040695	0.00142344498181593	0.0033752755112297	0.00786863636449891	0.000828061272891546	0.00188273216084812	0.00379196630321938	0.00717700612820222	0.00119645272771766	0.00183538384200391	0.00289768900259718	0.00526447597694533
13	0.00103053545455005	-0.0054041987172073	-0.0121142953038225	-0.00579884629524538	0.00640598036654374	0.0181984330609056	0.0206239278912641	0.0112198462926572	0.0151396492820681	0.0380038331099963	0.0552359918594812	0.0730726883133025	0.0190592567932837	0.0541266327289032	0.0968369399041715	0.11227719099535	0.0250147468215153	0.0552436980205785	0.0829848447980663	0.100542953075639	0.000644997157209143	0.00181700817825811	0.00407385233597782	0.00813530684723508	0.000627696547605413	0.00165668539229073	0.00397275135649948	0.00718333934637904	0.000523064052631059	0.00143116039414871	0.00338501761808506	0.007894808566721	0.000824729082142071	0.00188757774609549	0.0038067898774535	0.00720037179742495	0.00118616317225315	0.00182836749086633	0.00289490396828031	0.00526738812361781
15	0.000756761613345211	-0.00505485193341221	-0.00859346626134582	0.0012169290083639	0.0056586561737976	0.0184506610368287	0.0212917894326458	0.0108327229921063	0.0125211542856568	0.0339931701383492	0.0526808228051069	0.0689249188465927	0.0182609350661091	0.0465481700413063	0.0756695980278854	0.0847087552894741	0.0208306566800647	0.0471567036082696	0.072050453040157	0.0882377581523991	0.000628555172490515	0.00179379462197604	0.00405203162222806	0.00811418664039681	0.000612441113150412	0.00163591904690461	0.00396112861210558	0.00715834144751217	0.000509625241847687	0.00141517106007919	0.0033707708123092	0.00789557189538067	0.000809892868866861	0.00187201727521433	0.00380383138362243	0.00720438687000799	0.00117017376776053	0.00179760679718329	0.00283337545496861	0.00519862587929387
18	0.000515899812520388	-0.0034315218697911	-0.0107332592917051	-0.0113220996858127	0.00518456426801298	0.0163300131112019	0.0209833090680757	0.0161702194212294	0.0114126241743051	0.029659500568455	0.045699329611496	0.0469134227317826	0.0160457760088639	0.0408548379339066	0.0584668789125461	0.0554566838518044	0.0148786598156541	0.0322140331038733	0.0458126343762398	0.0535688272228188	0.000612935325489719	0.00177119759411014	0.00402719981015887	0.00808492711446866	0.000597694362116381	0.00161729825306834	0.00394732901347922	0.00714270696189633	0.000497204772941642	0.00139911064734559	0.00335778622252926	0.00789081227729491	0.00079518766901426	0.00185953614791302	0.00379900576591724	0.00719678302038086	0.001149267878454	0.00175982179620838	0.00277615827302309	0.00513345367882322
21	-0.000520296758537131	-0.00271544365712382	-0.00919307237654566	-0.00972004958227554	0.00412625409679105	0.0155470811352282	0.0185425268443823	0.00774806877650208	0.010007522034592	0.027228019736816	0.0491815431916274	0.0633176524505422	0.0132714662054255	0.0368676516041035	0.0498375157707694	0.0482780508015792	0.0143749416675048	0.0235510895747455	0.0303102941695956	0.0354269201375566	0.00059610893290896	0.00174851506217969	0.00400267186575791	0.00805590427522794	0.000581548263136946	0.00159679754859737	0.00392822862087826	0.00711265877697559	0.000484012096502586	0.00138201279611833	0.00333951358999661	0.00787144623880298	0.000778691641515961	0.00184037747230121	0.00378450600315472	0.00717448872214963	0.00111758868305448	0.0017026027764065	0.00270954573813886	0.00504933489644223
25	0.000306065717880034	-0.0011419527028205	-0.0154340047893611	-0.0140341217968079	0.00329044417693735	0.0134667711183854	0.0159793118628374	0.00909606901339587	0.00894144006704653	0.0218228902707511	0.0481783484100966	0.0704444714030865	0.0113640843201009	0.0278850638978747	0.0277412267988457	0.0344584344259756	0.0111286629214034	0.0138674446105382	0.024160996082196	0.0272052435945041	0.000581046834121129	0.00172961857727006	0.00398407299008132	0.00802816534738246	0.000567104252416444	0.00158097286237011	0.00390993661416856	0.00708639428942609	0.000472574399019314	0.00136898459245855	0.00332309186555261	0.0078418596803627	0.000763545800992494	0.00182301282528232	0.00376555819282177	0.00714916757984321	0.0010902504488882	0.00165427424989094	0.00265407876309524	0.00497976890011184
29	-0.000690432976720371	-0.00233897866781068	-0.00721718992818221	-0.00294563498096942	0.00390760841904979	0.0116319698560781	0.0205828764227203	0.0232221474338084	0.00822933972409301	0.0205985415849306	0.0328848050608167	0.0513018304491993	0.0105878361798118	0.0210764391352997	0.0267835714215807	0.0334952447974166	0.00597358357220418	0.0093725333384521	0.0190730429679391	0.0150753750230774	0.000568273317412058	0.00171347788319685	0.00397243939440002	0.00802546387082379	0.000555322365134268	0.00156651325428832	0.00389066569730182	0.00705668008303821	0.000462224394423267	0.0013562031456844	0.00330682168923736	0.00781487688451837	0.000749013453068856	0.00180517359503727	0.00374667097619548	0.00711632501958421	0.00105617609506028	0.00160325073463259	0.00259593615395505	0.00491825947261462
34	7.35471196542889e-05	-0.000344216095371148	-0.00447474602819411	-0.001899342269491	0.00313605820421218	0.0104340949178621	0.0155664413911759	0.0151694833760814	0.00753907480570596	0.0161500150521647	0.0217328925754749	0.0473670350663504	0.0105664843368446	0.0220065631308566	0.0246937981051795	0.0189778852933639	0.0059934761418428	0.00542833243204419	0.0189226172146407	0.00900962072459789	0.000546609990708472	0.00168687824823778	0.00393016270581944	0.00796079971880795	0.000536070233691502	0.00154417908109039	0.00385586168017998	0.00699768414565226	0.000444886842769797	0.00133652049223938	0.00327094976755341	0.00776424328748728	0.000722665263677214	0.0017725306135205	0.0037107953165506	0.00706137031366156	0.000998045932367542	0.00152511753488121	0.00250380456051065	0.00482063701597834
40	-6.35333848596292e-05	0.000769741473470293	-0.00361435861219254	-0.00971835126096495	0.0030739916712654	0.00843071693757151	0.00780381286495776	0.0129554831783462	0.00584814017704229	0.0139445569088993	0.0181355146124316	0.0334318820161281	0.00873982846541098	0.0189648707316574	0.0170252809704414	0.00420965259614901	0.00779209490187507	0.00593802071268345	0.0117502844941599	0.000953174115869732	0.000528710509701888	0.00166347621521247	0.0038930492714986	0.0078974101579429	0.000520449524935217	0.00152517542533994	0.00382317305038656	0.00694245664490582	0.000430381539362819	0.00132029276119937	0.0032352852898149	0.00770989310094932	0.00069771040243065	0.00174023259896407	0.00366788556322032	0.00700460490710447	0.000946280101194234	0.0014601819511163	0.00242444498408465	0.00474180747448383
47	0.000111540876962742	0.000550635511180678	-0.000134989532670871	-0.00444292588846335	0.00311109186931638	0.00848707712750784	0.00656809259052985	-0.00169445138081969	0.00444654024227493	0.0135403312646921	0.0146496817350358	0.0402653946923862	0.00740415499133916	0.0130658881192504	0.00741500950861711	0.00630529385913765	0.00627169702414117	0.00784018840926632	0.00877873300784339	0.000579289876309577	0.000513543379127543	0.00164390115775706	0.00385612910533203	0.00782915990711388	0.000507477472335765	0.00150743044692625	0.0037901536265923	0.00688764834426898	0.000418087336336042	0.00130571677815842	0.00319971107816649	0.00765436562794158	0.000675885594716085	0.00171163965460848	0.00363006765432073	0.00693556924754174	0.000900762797324799	0.00140711458867487	0.00235853276500045	0.00467080834787533
