lagtime	NRF_p<1.75|antQ0.00876-0.1	NRF_p=1.75-3.5|antQ0.00876-0.1	NRF_p=3.5-5.25|antQ0.00876-0.1	NRF_p=5.25-7.1125|antQ0.00876-0.1	NRF_p<1.6375|antQ0.1-0.2	NRF_p=1.6375-3.33333|antQ0.1-0.2	NRF_p=3.33333-5.0625|antQ0.1-0.2	NRF_p=5.0625-6.875|antQ0.1-0.2	NRF_p<2.25|antQ0.2-0.5	NRF_p=2.25-4.5|antQ0.2-0.5	NRF_p=4.5-6.75|antQ0.2-0.5	NRF_p=6.75-9.125|antQ0.2-0.5	NRF_p<1.9|antQ0.5-1	NRF_p=1.9-3.83333|antQ0.5-1	NRF_p=3.83333-5.8125|antQ0.5-1	NRF_p=5.8125-7.875|antQ0.5-1	NRF_p<2.4|antQ1-20.2	NRF_p=2.4-4.86667|antQ1-20.2	NRF_p=4.86667-7.3125|antQ1-20.2	NRF_p=7.3125-9.875|antQ1-20.2	se_p<1.75|antQ0.00876-0.1	se_p=1.75-3.5|antQ0.00876-0.1	se_p=3.5-5.25|antQ0.00876-0.1	se_p=5.25-7.1125|antQ0.00876-0.1	se_p<1.6375|antQ0.1-0.2	se_p=1.6375-3.33333|antQ0.1-0.2	se_p=3.33333-5.0625|antQ0.1-0.2	se_p=5.0625-6.875|antQ0.1-0.2	se_p<2.25|antQ0.2-0.5	se_p=2.25-4.5|antQ0.2-0.5	se_p=4.5-6.75|antQ0.2-0.5	se_p=6.75-9.125|antQ0.2-0.5	se_p<1.9|antQ0.5-1	se_p=1.9-3.83333|antQ0.5-1	se_p=3.83333-5.8125|antQ0.5-1	se_p=5.8125-7.875|antQ0.5-1	se_p<2.4|antQ1-20.2	se_p=2.4-4.86667|antQ1-20.2	se_p=4.86667-7.3125|antQ1-20.2	se_p=7.3125-9.875|antQ1-20.2
11	0.00386059724183653	0.00211218104182448	0.00256672262631172	0.00251812489534295	0.00839501650049446	0.015835840590251	0.0170850898522517	0.0124515202058385	0.0187578665440073	0.0455005738653554	0.0502795856384556	0.0876909359904314	0.0230194486844925	0.0460239438421615	0.0762995796556409	0.0928918102673268	0.0309877393613216	0.0561433578427883	0.0892737992398949	0.129718187028019	0.000954900126620077	0.00211115617159592	0.00437438026519891	0.0069184471841562	0.000952604084412108	0.00198220562432202	0.00370865717728396	0.00668423035553112	0.000822862108460152	0.00202808525275277	0.00393160931306036	0.00680794282412668	0.00115276927808352	0.0023057928172051	0.00415812944559963	0.00775369909428544	0.00169176070237241	0.00257542025472504	0.00367666906626523	0.00577943119276045
13	0.00215769868964507	-0.000749361629344047	-0.0121481980871941	-0.0072034793633103	0.0069449926607605	0.0132421424620528	0.0164328469777255	0.0202903282661732	0.0147438542607307	0.0428518761484683	0.0368296918553541	0.035923309513186	0.0160783192997869	0.0357085008897466	0.0578778487825365	0.0789350529569463	0.0205226011318131	0.0442958583991738	0.0648787599644432	0.0900106223415391	0.000952128072054247	0.00211173613292559	0.00439234892854471	0.00694534232020279	0.000949976307564825	0.00198450691973396	0.00372828369075245	0.00671994334837633	0.000818451016508747	0.00203952213275683	0.00395866910843923	0.00684141040248476	0.00114595069422692	0.00230848199993732	0.00417459359079589	0.00778351677193907	0.00166854262559706	0.00254941454893216	0.00366482043947781	0.00578767123738899
15	0.00237682570594974	-0.00200699165519576	-0.0154616978149344	0.00283272518298006	0.00520238991365613	0.0130407691192398	0.0173596711913232	0.0294749840107795	0.0117425900645328	0.0353529477612836	0.0457249429470872	0.0461612894696756	0.0130230208407524	0.0319513190034376	0.0415108074667419	0.0635454490675008	0.0154080614220929	0.0452441957789464	0.0520028445291265	0.0623623997377584	0.000938984224319101	0.00208653076292271	0.00438451953686508	0.00693662213505823	0.000940013414491777	0.00196897156468149	0.00371410018627064	0.00672925546472458	0.000809146559282506	0.00202962694520701	0.00395930124520323	0.00684664190793512	0.00113524639711119	0.00230349798499188	0.0041676791055019	0.00780278342186907	0.0016686710393518	0.00254377331823583	0.00363526653607102	0.00573095535373189
18	0.0016443457714857	-0.00291308954038972	-0.00772696557256844	0.00175776251888796	0.00472765454556044	0.0125388154825364	0.0196852836387079	0.024797131779534	0.011555019890769	0.0304398083499409	0.0473993293050291	0.0477052433178592	0.0144442116433692	0.0306659178224467	0.0399420733145876	0.0399681934936217	0.0136613312812478	0.0378371540457305	0.0338304195369481	0.0555308515184815	0.000924288976326673	0.00206295133069787	0.00437746485835342	0.00692695139157745	0.000929061509221385	0.00195165253750981	0.00370633006862369	0.00672952234830121	0.000798051476417587	0.00201635624383128	0.00394895520526724	0.0068460603279946	0.00112378460151451	0.00229457899642473	0.00417178283783832	0.00781317346996699	0.00165558655628637	0.00252842585458571	0.00360871387086003	0.00564774079386512
21	0.000327030937163225	-0.0054699942763674	-0.00418682183168911	-0.00813068744070902	0.00222382452139023	0.0133259555047931	0.0235121178691112	0.0120049894524005	0.0105479390930599	0.0258758356701626	0.0466619764375242	0.0595109145656674	0.0124080276586334	0.026978401934304	0.0329864791690701	0.03015108127575	0.0143180053153858	0.0218395099917856	0.0261488798538838	0.0486969467870756	0.000909660186291289	0.00203492807070348	0.00436136567752501	0.00690976431241281	0.000913702578960694	0.00192815612070817	0.00369198852402731	0.0067196531650062	0.00078221339075208	0.00199803993334902	0.00392126082021592	0.00683050434053478	0.00111052857913439	0.00228138916697753	0.00416223260472761	0.00781567483436605	0.00162595867287498	0.00247230225041196	0.00354383612940556	0.00557814179267138
25	0.000929280905606021	-0.00622377697146901	-0.00443950967053996	-0.00421318723494577	0.00138733200723115	0.00881963962192575	0.0163721247652105	0.0141410438923902	0.00904901894754965	0.0192568486081121	0.0347385139947612	0.0668650783635344	0.0111669849987608	0.0229394455258572	0.0267620584880134	0.0329180755429123	0.0104102447656345	0.0155508913024933	0.0171739584691984	0.0245910005752411	0.000894030026741816	0.00201158444523006	0.00435288116825518	0.00689825703981378	0.000898295681432169	0.00190597893818163	0.00367561782692406	0.00669016379726443	0.000767511002200382	0.00198394817782839	0.00390148205492873	0.00681244546955841	0.00109455512193113	0.00225979771802776	0.00413279643595067	0.00780069453426025	0.00160078875135768	0.00242844554438955	0.00348642535795825	0.00552259205982364
29	0.00040423705219283	-0.00383912631684178	-0.00412250969020458	-0.00433736906686021	0.0021872104633483	0.00680171355482103	0.0131426136520309	0.019288581518877	0.00773968392293681	0.0196302152588566	0.0247590046833327	0.0351682429895485	0.0068775040234126	0.0155307318756089	0.0181074841365847	0.039556058466442	0.00777349703573803	0.0126259338812409	0.0142698364362343	0.0168827347801677	0.000878690859389799	0.00198671706721989	0.00433364715840887	0.00686495079004803	0.000884543163209674	0.00188795082241861	0.00365938974922264	0.00666066031574812	0.000753296067319691	0.00196731178506031	0.00388385424835052	0.00678660417769873	0.00107586578677607	0.00223779133018927	0.00411210877710856	0.00781696426894976	0.00155882322833049	0.00235968372527828	0.00342481553424313	0.00543286789935979
34	0.000908472421318082	-0.00197481215814837	0.00112975176222089	-0.00068068123301214	0.00162467436009613	0.005897251059806	0.0126171823624473	0.011816065841167	0.00721548822387889	0.0155485566419822	0.0208988357542071	0.0332636730439181	0.00680331709181945	0.0143399561751031	0.01017490190529	0.0222120849774006	0.00689195417946277	0.010011803021302	0.0166315958450399	0.00646309663999805	0.000849750526412939	0.00195131287243237	0.0043053487057412	0.00679478701092057	0.000858849157395599	0.00185248543964745	0.00362540713600734	0.0066075277874909	0.000726874204236028	0.00194023070795246	0.00385298807208849	0.00672589150374764	0.00104342150754164	0.00219640157500536	0.00406173637802298	0.00778675925706052	0.00149080934967183	0.00225325983157544	0.00331830443556452	0.00530354095660505
40	0.00053445052406611	-0.000976899684613252	0.00652739518840571	-0.000549265406168009	0.00218328814607106	0.00273605629695007	0.0106124139629191	0.00812256628449848	0.00481589170470905	0.0112241812406235	0.0175919619388827	0.0307923468799969	0.00561274356788077	0.0128374201615571	0.0153809662321399	0.0125155361614365	0.00496086045198841	0.00720601952706292	0.00911556761810337	0.0037599314790128	0.000823923081797143	0.0019224079426509	0.00427235417957268	0.00672802150715094	0.000836233707157756	0.00182909945114593	0.00359047712401437	0.00656421494110418	0.000702990466259935	0.00191920886712335	0.00382762065081916	0.00667949869350869	0.00101101788376644	0.00216084529096214	0.00401309357589201	0.00774051344247807	0.00141328632276816	0.00217132360573797	0.00322660604224431	0.00517732417037194
47	0.00134959579866649	-0.000543467769899149	0.00449709200352243	0.000745313207999174	0.00289439860856754	0.00459827150328597	0.00944787721285472	0.00586629739754746	0.0037231090427755	0.0110955232103198	0.00889045910416709	0.0218447296282979	0.00549738372693284	0.00705286386304483	0.0130916233664644	0.0015582621429856	0.00584259358243147	0.00530492055681017	0.0064024463552861	0.0112502823020146	0.000801191455224828	0.00189648869091781	0.00424106857130312	0.00667310878735797	0.000815045408312979	0.00180155505902902	0.00356189046517908	0.00652449928617733	0.000682213843609427	0.00189341269182265	0.0037891202241182	0.00660287863931949	0.000981673511478835	0.00212033966836965	0.00397290092038732	0.00769141647670919	0.00135015919869076	0.00209660903490935	0.00313890698726693	0.00506340605921079
