lagtime	wtd_avg_RRD_p|antQ0.00876-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.5	wtd_avg_RRD_p|antQ0.5-1	wtd_avg_RRD_p|antQ1-20.2	se_p|antQ0.00876-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.5	se_p|antQ0.5-1	se_p|antQ1-20.2
186	-0.000278774584205621	0.000394887537715004	0.000620583374487002	0.000270879429733137	0.000136825948946057	0.000197811640413911	0.000209151485936722	0.000154494285601459	0.000189636623578614	0.000117335714824367
217	-0.000286887729380322	0.000329307694778037	0.000432528881833631	0.000390094316618173	1.94086625488586e-06	0.000184507139932968	0.000195599064169406	0.000143840290737011	0.000174340097900388	0.000108230655705521
253	-0.000157531014941299	0.000182347356275028	0.000243439841044386	0.000312241192103546	0.000102731155603079	0.000171261048324616	0.00018303737376659	0.000133818483598767	0.000160804262823575	0.000100293339647858
295	1.87235541481456e-05	0.000196396948474377	0.000178127301212207	0.000168670756253724	8.29352222946038e-05	0.000158052751459687	0.000169988252030532	0.000123494045585633	0.000147548521402926	9.28581804278405e-05
344	-0.000135450820312768	0.000106805991743323	3.45576665768974e-05	0.000125010965339057	-1.53886642512851e-05	0.000144909333549646	0.000157187256966013	0.000113058618980257	0.00013480931540434	8.59905825425018e-05
401	-0.000234072626599707	0.000173952195930094	6.56425101864614e-05	4.43586506396625e-05	3.59347277257881e-05	0.000132331661251073	0.000144950107659038	0.000103285474133008	0.000123002262840281	7.9567827292174e-05
467	-1.30662403269225e-05	0.000125474968800064	0.000110205117123986	0.000328057349383594	-3.65125646498064e-05	0.000120575779243242	0.000132884102706775	9.42214427438094e-05	0.00011266942670714	7.3304276913315e-05
544	-0.000319264023599822	0.000136925358335323	6.57254270134346e-05	4.27340816939149e-06	6.51883335123428e-05	0.000109536187085132	0.000121252127896277	8.59751530539261e-05	0.000103139735199425	6.73093578022001e-05
633	-1.35923592059387e-05	-0.000155899857833061	0.000143361141873657	-3.86071067974314e-05	-7.36718254920643e-06	9.9641051646292e-05	0.00010986822350476	7.844663426141e-05	9.50902494663249e-05	6.20599020140789e-05
737	-2.8655964341515e-05	0.000114631588411122	-0.00022921958334675	6.90947754036905e-05	4.88786636693383e-05	9.05123905928469e-05	9.93072609999096e-05	7.05523736961445e-05	8.757120530682e-05	5.73031226770263e-05
858	-7.34884088077492e-05	3.45975095315626e-05	3.07668782571069e-05	0.000304784544819079	-8.2466229238969e-05	8.27814446578053e-05	9.03074721634407e-05	6.33698654261212e-05	8.13005568857291e-05	5.31576635225658e-05
1000	-3.8312610621627e-05	7.51962943855882e-05	5.99750781111775e-05	0.000256297041033423	-5.5394803823554e-05	7.73285571929107e-05	8.49278330844278e-05	5.89333567142268e-05	7.70788591575834e-05	5.08800053752869e-05
