lagtime	NRF_p<3|all	NRF_p=3-6|all	NRF_p=6-9|all	NRF_p=9-12|all	se_p<3|all	se_p=3-6|all	se_p=6-9|all	se_p=9-12|all
20	0.0124070214251536	0.0424774343122832	0.0525731939452316	0.0471807799702174	0.00048681152052871	0.00124519916199189	0.00274360173533809	0.00550188408027312
21	0.0122297297967672	0.0413463066892326	0.0519686090771653	0.048967747023434	0.000486906947352551	0.00124647974822914	0.00274647279328489	0.00550977317671797
22	0.0113817349369008	0.037529498453096	0.0477884758217745	0.0469090843029955	0.000486981543529263	0.00124756764665071	0.00274882916054285	0.00551651606310604
23	0.0111290395855214	0.0349106436764931	0.047972751273963	0.049030938648964	0.000487032685596249	0.00124852232821403	0.0027505967164144	0.00552206415244903
24	0.010464281680547	0.031782451273746	0.0451295540010607	0.0463697429762454	0.000487081527453981	0.00124941396219578	0.00275201440890839	0.00552688657958477
25	0.0103965417931933	0.0302830638686434	0.045813649345271	0.0529746806746631	0.000487116292837825	0.00125003525654449	0.00275330384355145	0.00553087704858313
26	0.0101586971805041	0.0283815334692292	0.0435474861545208	0.0477101425631321	0.000487142009482524	0.00125047677500417	0.00275438868030558	0.00553455467876493
27	0.00928978513269714	0.0250039002179579	0.0335310324409666	0.0304536333491887	0.000487145636430188	0.00125084880480311	0.00275530845764962	0.00553978965915744
28	0.00883096808923146	0.0245028246342202	0.0332651157742827	0.047401981674326	0.000487187169053967	0.00125113614054292	0.00275619002777984	0.00554323936260081
29	0.0089761150896976	0.0253259330271497	0.0356243158613764	0.0534487484451848	0.000487222002068402	0.00125139646806683	0.00275692718128159	0.00554545641136506
30	0.00941137108395875	0.024766192370319	0.0337816388562573	0.0406713543177062	0.0004872301708956	0.00125158822982411	0.00275748832391383	0.00554748434316594
31	0.00823706573743847	0.0227087663929353	0.0330673594103085	0.047099414055829	0.000487258409976081	0.00125171794782147	0.00275800708656073	0.00554898294916806
32	0.00758011045027751	0.0208707553273635	0.0306056426847345	0.0410206928632088	0.000487274719704736	0.00125185660743673	0.00275853882919661	0.00555041420666086
33	0.00789108678624368	0.0189360812423532	0.0296261594091829	0.041030851566523	0.000487287310571698	0.00125196087446311	0.00275888739562881	0.00555167051136013
34	0.00788775362917398	0.0171436402286907	0.0290729665910976	0.0423483085819576	0.000487298818213483	0.0012520580167447	0.00275922571337289	0.00555277111383389
35	0.00829692420877703	0.016308832865788	0.0280253971684705	0.0444005253920381	0.000487313896925889	0.00125214733510652	0.00275950143452641	0.00555366260780732
36	0.00824058246519536	0.015788553089569	0.0242967945074208	0.0394216274750085	0.00048734646870998	0.00125223789443335	0.00275964269710933	0.00555422891391568
37	0.00882622851028972	0.0175111842489378	0.0238184861641926	0.0355116137531755	0.000487391913171554	0.00125234512808428	0.00275977347808316	0.00555466124841486
38	0.0081622527199791	0.0161463652786534	0.020659227309858	0.0304150873191625	0.000487401550138972	0.00125240482985568	0.00275985323591651	0.00555512164609456
39	0.00834740841930068	0.0164181766043232	0.0228005643698936	0.0319096857748316	0.000487399075205669	0.00125243111747989	0.00275992709292197	0.00555548769878823
40	0.00728884015229127	0.01483132551583	0.0190001768012776	0.0237641598431207	0.000487397338329972	0.00125243599627562	0.00275996285168412	0.00555583961296915
41	0.00706088611717992	0.0160265610633039	0.0143830654367753	0.0146481823791676	0.000487396989134739	0.00125243351859904	0.0027600029942074	0.00555607509111797
42	0.00715746999662473	0.0153794836878078	0.0135471582820577	0.0168789909121887	0.000487396097809703	0.00125239956415863	0.00276004527701474	0.00555622383280515
43	0.00650710593669856	0.0154189652116289	0.0149467619552689	0.0234224795611449	0.000487412847593338	0.00125240320821858	0.00276011820306338	0.00555630595582327
44	0.006449968846499	0.014859426597009	0.0129354769207901	0.0179312319540009	0.000487443793270687	0.00125245254771818	0.00276013421569784	0.00555633280347608
45	0.00657719579368715	0.0142451519546106	0.0128028977206261	0.0249386059236817	0.000487465997704545	0.00125246510511351	0.00276012133834287	0.00555648288457237
46	0.00706307271933582	0.0144177371988568	0.00898435227763521	0.0227898194662865	0.00048749210530196	0.00125248394262187	0.00276011800024506	0.00555664809550972
47	0.0063725511395139	0.0155448140615273	0.00958579408649759	0.0196499240111664	0.000487506041863129	0.00125250441740618	0.00276012176096812	0.00555680022603169
48	0.00595866419004464	0.0134112972623646	0.00819696748785416	0.014500205233943	0.000487539263726661	0.00125252917735494	0.00276010722472339	0.00555692507865082
49	0.00655579017626657	0.0142839729219384	0.0134380692425733	0.0146489760721405	0.000487570900163279	0.00125258202132677	0.00276010424944997	0.00555705279463819
50	0.00639763117141809	0.0157123658003403	0.0153303693588548	0.0178465534010845	0.000487592173400076	0.00125260810810456	0.00276013876585603	0.00555712568603517
51	0.00592253972714367	0.0147165438440644	0.00934890754213763	0.0164774653315511	0.000487609099296237	0.0012526099853628	0.00276013022422748	0.00555710862231098
52	0.00564826450645392	0.0125574884954431	0.00758871257872147	0.0194893620889594	0.000487631061207619	0.00125262800685918	0.00276011994695042	0.0055572011400104
53	0.00544239510226345	0.011812084122328	0.00925267351581959	0.017842822275535	0.000487649651183455	0.00125268451333228	0.0027601045343439	0.00555730718098109
54	0.00536256578653314	0.0109511838053931	0.00842318740088958	0.013041240172003	0.000487672379918095	0.00125270488418803	0.00276005428776781	0.00555736763640402
55	0.00592104833939189	0.0112629707749058	0.00734419932997607	0.010270943446049	0.000487697664953276	0.00125271442339475	0.00276000462827246	0.0055574370730454
56	0.00566135021259178	0.0105707474305032	0.00607486329707184	0.00541866541404751	0.000487702168551053	0.00125270197149976	0.00275995008581504	0.00555749248651566
57	0.00488323681713542	0.00925887975862046	0.00798674761601555	0.00973369802181171	0.000487686978121689	0.00125270817755908	0.0027599177641488	0.00555760867115528
58	0.00514941761669213	0.0100038653263352	0.0147244854923398	0.0157940473148572	0.000487646209124231	0.0012527075478821	0.00275986646141649	0.00555770824959421
59	0.00579823012783014	0.0108651537739527	0.0143721326859197	0.014433790710204	0.000487629464676488	0.00125268329543548	0.00275980135099741	0.00555774191026129
60	0.00568647862675054	0.00956193137908506	0.0100213123874642	0.0132552804996875	0.000487612415191608	0.00125267287646348	0.00275975086036863	0.00555770718729288
61	0.0058745922310221	0.0103932664009383	0.0147712142024245	0.0223413688378644	0.000487566399087956	0.00125262136312486	0.00275973361796115	0.00555761547973693
62	0.00579123159584306	0.0109294321762901	0.0111041225635135	0.014856523243747	0.000487491938134807	0.00125258495985768	0.0027596678742288	0.00555757815984525
63	0.00566066571999752	0.0106120276094216	0.00755650085813237	0.00954042207060807	0.000487442198921495	0.00125256502809554	0.00275961504589011	0.00555763288065732
64	0.00511464239058041	0.0115300205000926	0.00851941938823577	0.00986927964958416	0.00048738776361637	0.00125256858513744	0.0027596295266262	0.00555777883334497
65	0.00497770370737703	0.0114315979116457	0.00937133337265731	0.0114569523261765	0.000487322318806747	0.00125260102155994	0.00275967484596247	0.00555787012559484
66	0.00526809391498844	0.0111898999151048	0.0103880356597199	0.0138630444909231	0.000487303967892032	0.00125261636259166	0.00275972036731095	0.00555797941847576
67	0.0051094279317465	0.0114520115343012	0.0102114720064925	0.0105301648537698	0.000487298296341513	0.00125260067878398	0.00275970097342866	0.00555801954230238
68	0.00379607652750687	0.0109422808044688	0.0122099994028884	0.0100621490978292	0.000487287044781945	0.00125256369324873	0.00275962702818153	0.0055580340773384
69	0.00379272322784631	0.00907979119931202	0.0128479617905363	0.0143648581575372	0.000487251803609488	0.00125254573348466	0.00275959159784038	0.00555791600401655
70	0.00495991208763154	0.00981204135300495	0.0126782646630629	0.0185606059890733	0.000487207945514768	0.00125254433359186	0.00275957803982531	0.00555786010658551
71	0.00533036308395076	0.00988560553450619	0.0162960769156386	0.0188869394314439	0.000487183632157473	0.0012525676321225	0.00275947299686626	0.00555782930287637
72	0.00493693198430127	0.0095719326856376	0.018033741062747	0.0167645174897674	0.000487168878417974	0.00125259212765453	0.00275933523271386	0.0055578282905928
73	0.00502005299937225	0.0103838210370786	0.0185653438742067	0.0152242523154058	0.00048713844458358	0.00125260622332526	0.00275925767466815	0.00555784830478791
74	0.00424378904833453	0.00934967210673024	0.0168024875291498	0.0132450594500871	0.000487110065649426	0.00125261796905075	0.00275918806767783	0.00555785134460925
75	0.00504210621727886	0.00844901908737742	0.0140848807356376	0.0109142641736008	0.000487081150023101	0.00125267452101759	0.00275915887481838	0.00555780783932668
76	0.00542631070351879	0.00876650584296336	0.0136576032446301	0.0108262778306618	0.000487021902265236	0.00125272662554894	0.00275917567586447	0.00555770828577824
77	0.005072234697316	0.00791557891004378	0.0141910910879259	0.0111583812806326	0.000486975066877729	0.00125268277481356	0.00275918547273343	0.0055577156278155
78	0.0047439226081475	0.00593204673224172	0.0126679716925955	0.0131323965951271	0.000486961015761351	0.00125268617855184	0.00275920201284848	0.00555777543062023
