lagtime	RRD_p|all	se_p|all
87	0.000775986551772838	8.49452387743057e-05
88	0.000754423776745979	8.49514079971231e-05
89	0.000743133370468442	8.49570545761289e-05
90	0.000736658151135666	8.49619693891437e-05
91	0.000724999918314157	8.49685195195416e-05
92	0.000715433245526568	8.49772883624917e-05
93	0.000702741843763178	8.49898419471636e-05
94	0.000740276061329855	8.5006266471474e-05
95	0.000745353272964856	8.50250546579088e-05
96	0.000743503425836857	8.50448212303359e-05
97	0.000708294271797956	8.50636843873902e-05
98	0.000685952531013008	8.50828793404909e-05
99	0.000664495339805721	8.51016017377643e-05
100	0.000649933219282155	8.51187844426397e-05
101	0.00062942290446893	8.51346941147384e-05
102	0.000603289382130628	8.51490447180095e-05
103	0.000592428057548571	8.51615316220655e-05
104	0.000590504717296263	8.51727420336555e-05
105	0.00058161211294177	8.51813725679468e-05
106	0.000575190657859418	8.51864025559836e-05
107	0.000564304525852919	8.5188200437441e-05
108	0.000555524707278016	8.51887611814067e-05
109	0.000548945392646921	8.51886202939191e-05
110	0.000528677313630255	8.51887845840954e-05
111	0.000525720718398795	8.51885506303795e-05
112	0.000506773410012682	8.51880033987074e-05
113	0.000511303679496863	8.51870712692082e-05
114	0.00050692301856714	8.51861920254698e-05
115	0.000488020131998153	8.51858558857216e-05
116	0.000482594798185323	8.51855391215119e-05
117	0.000487170387388808	8.51847247201207e-05
118	0.000473871614682298	8.51813611788237e-05
119	0.000473710247144603	8.51740270975158e-05
120	0.000445195610563721	8.51631649124195e-05
121	0.000458660953133276	8.51501285883049e-05
122	0.000483314924543112	8.5136065312206e-05
123	0.00048028575277931	8.51194912492331e-05
124	0.000499336361595449	8.51037208099772e-05
125	0.000518491291090991	8.50879063264292e-05
126	0.000499989095371717	8.50739846098805e-05
127	0.000503442596439808	8.50614886448866e-05
128	0.000500771693999964	8.50508612175808e-05
129	0.00049053866660431	8.50403443760193e-05
130	0.000494785625123822	8.50312792009098e-05
131	0.000502282704933945	8.50257080278984e-05
132	0.00050240863057717	8.5023237204834e-05
133	0.000512793617159507	8.50242870230232e-05
134	0.000512745112705102	8.50275116842366e-05
135	0.000531798496321691	8.50329098117596e-05
136	0.00056005721348869	8.50394860888928e-05
137	0.000549053137037594	8.50465840439385e-05
138	0.000517307370040836	8.50538872665572e-05
139	0.00045024781695028	8.50606560570311e-05
140	0.000394728880073057	8.50664148337879e-05
141	0.000362452551361185	8.50709952246687e-05
142	0.000383099394235885	8.50737364362316e-05
143	0.00039798320275158	8.50749363033227e-05
144	0.000407501498198212	8.50748728029728e-05
145	0.000396715159369414	8.50741869130134e-05
146	0.000384101599232951	8.50731940014051e-05
147	0.00039423773090959	8.50707942069822e-05
148	0.000370073466437873	8.50679535196969e-05
149	0.000364915364135171	8.50642482172803e-05
150	0.000360546924799672	8.50519652132197e-05
151	0.000336582887155655	8.50417520514787e-05
152	0.000320248126093755	8.50247028892851e-05
153	0.000318747054698214	8.50031690026393e-05
154	0.000324989934233201	8.49801350167068e-05
155	0.000345683507320013	8.495453853142e-05
156	0.000390084042585317	8.49277520551592e-05
157	0.000379468467885961	8.48998734847605e-05
158	0.000372784436296864	8.4870120289573e-05
159	0.000379771972094128	8.48389597311915e-05
160	0.00038554741763247	8.48071099917006e-05
161	0.000371531262239303	8.47730255992209e-05
162	0.000366497298296844	8.47353809963581e-05
163	0.000364865272350527	8.46938561921089e-05
164	0.000380915650257744	8.46442720009593e-05
165	0.00038077783905064	8.45849359471864e-05
166	0.000369009464838359	8.45086961228164e-05
167	0.000356264990272278	8.4409165042563e-05
168	0.00035520662958952	8.42496841385353e-05
