lagtime	RRD_pR|all	RRD_pB|all	se_pR|all	se_pB|all
35	0.0033577624813377	0.00320732000512736	0.000250798782600644	0.000304536611580618
36	0.00351321183335133	0.00287294455432228	0.000251326610458739	0.000305286820266397
37	0.00362632404365608	0.00260421176733357	0.000251810545877089	0.000305958453168168
38	0.00370545257027606	0.00236680235277372	0.000252264043123318	0.000306591180823384
39	0.0037613553544402	0.00223747539859072	0.000252690169962563	0.000307155237070726
40	0.00375271222090896	0.00213326576413344	0.000253090351584898	0.000307647388874864
41	0.00368493909500437	0.00206201957932793	0.000253464406354476	0.000308066926462146
42	0.00357662036239684	0.00196263701222437	0.000253804615261107	0.000308434337545183
43	0.00341005670731356	0.00188313403865851	0.000254118372057531	0.000308755943760866
44	0.00327780233035646	0.00184724383776739	0.000254408057318086	0.000309038151549561
45	0.0031487486503999	0.00177387908240403	0.000254689918384733	0.000309295420246223
46	0.00308329392957443	0.00170496568160845	0.000254981018634053	0.000309531176532605
47	0.00301193073792188	0.00155145686040133	0.00025527287351373	0.000309744157190263
48	0.00297361860415107	0.00136774156507541	0.00025555250833964	0.000309937841275815
49	0.00290372579820271	0.00124197676345686	0.000255824526092271	0.000310105027888137
50	0.00287168755210833	0.00110269130729337	0.000256090237089691	0.000310260856514755
51	0.00283976312666934	0.000951432194189734	0.000256354295304194	0.000310424496356291
52	0.00280462702767993	0.000838116973115973	0.00025658294353215	0.000310578297979352
53	0.00274386368624455	0.000771888131772707	0.000256794626319273	0.000310716584336218
54	0.00265992102885559	0.000820836131320404	0.000256970614012948	0.000310828646677477
55	0.00256328718076224	0.000892053434188634	0.000257111274542336	0.00031091349365645
56	0.00241081293677316	0.000852813792797478	0.000257220128021664	0.000310974442301334
57	0.00230106080091837	0.000968093537670833	0.000257300915408506	0.000311022424066988
58	0.00219258856230668	0.00107619472879851	0.000257363980663526	0.00031106810200197
59	0.00209917465588958	0.000997187430257297	0.000257419315904842	0.000311112217310635
60	0.00203645419076014	0.000852113781694026	0.000257474252549219	0.000311151659695366
61	0.00199167913935075	0.000689698245190956	0.000257528442878822	0.000311185344387738
62	0.00193645511188177	0.000610303531826345	0.000257584431391602	0.000311211320246722
63	0.0018625413578425	0.000564810147890382	0.000257641504613778	0.000311231407903239
64	0.00179251476677306	0.00054900198648881	0.000257693492498804	0.000311251829260614
65	0.00167077234395876	0.000698874008867923	0.000257742746844361	0.00031127069103373
66	0.0016543046458882	0.000857271687499051	0.000257792220938835	0.000311292376930096
67	0.00160037525918814	0.00093657216109843	0.000257835928085643	0.000311322688008567
68	0.00153874424616577	0.000918509893126274	0.000257881445642311	0.000311359361896717
69	0.00149980217322767	0.000925937854412006	0.000257932465942454	0.000311394882450952
70	0.0014305946794716	0.000923681530025208	0.0002579897764215	0.000311451261967475
71	0.00140878465317992	0.000887669149214848	0.000258052284200886	0.000311520644107931
72	0.00140784668595839	0.000845884841153907	0.000258121740529977	0.000311602766728003
73	0.00135113558497075	0.000774624024921524	0.000258199987881949	0.000311694467865449
74	0.00130144841074443	0.000744849900487523	0.000258280356613191	0.000311794376377571
75	0.00130318373034952	0.000721508634453751	0.000258365752285661	0.000311894216917485
76	0.0013168191714865	0.000770552398699855	0.000258454863217847	0.000312009610190196
77	0.001345957230795	0.000818679017686234	0.00025854920830718	0.000312125898677941
78	0.00131580567449147	0.00078378162407617	0.00025864815210492	0.000312239269955498
79	0.00126030482792773	0.000743843782115704	0.000258749164262934	0.000312349418298002
80	0.00119248386060927	0.000724114104437107	0.000258858329864708	0.000312463931242191
81	0.00113951188805631	0.000733379181520339	0.000258969801123055	0.000312585745577402
82	0.00110113626925803	0.000837930713651148	0.000259089520270264	0.000312720309493264
83	0.00106280617042934	0.000831758749731372	0.000259214709383758	0.000312866843497357
84	0.00103372111070746	0.000743148774043545	0.000259345045005991	0.0003130206417083
85	0.00104063650604251	0.000639108385211123	0.000259478559063826	0.00031317515288465
86	0.00105059735072584	0.000567175494685804	0.000259639418671007	0.000313311067489749
87	0.00103800356146521	0.000498722048339569	0.000259829384887037	0.000313518454247341
88	0.000967908496552414	0.000464985792843601	0.000260074100558107	0.000313839284712135
89	0.000864427277884495	0.000630878108677543	0.000260374253586977	0.000314267741661534
90	0.000795526145269595	0.00096354805060136	0.000260716345303594	0.000314763649014646
91	0.000747316705649563	0.00108857833769805	0.000261090724651961	0.000315299967951838
92	0.000739176287415003	0.00112022509314605	0.000261488325268461	0.000315851769924469
93	0.000763221406556372	0.00108189209749519	0.000261896257443065	0.000316404529245181
94	0.000904208838928794	0.00104997048438211	0.000262302847550099	0.000316939684111374
95	0.000932675303646262	0.000987299988418369	0.000262705609515584	0.000317445332161838
96	0.000943605392884324	0.000984726406401622	0.000263095587063343	0.000317918152343881
97	0.000903278134488091	0.000902175204921478	0.000263451519270079	0.000318352370095024
98	0.000879408872697041	0.00082778658455366	0.000263778874602923	0.00031874632758751
99	0.000868878244079653	0.00075474948313853	0.000264083019829968	0.000319102253769967
100	0.00087105173662539	0.000724971175467918	0.000264367288421066	0.000319426933746107
101	0.000860098447699402	0.000668102004688724	0.000264640280818486	0.000319755858258295
102	0.000848622938447708	0.000545297041487368	0.000264897799060143	0.000320070966987848
103	0.00084494982369294	0.000456958051860417	0.000265141078791287	0.000320362826881991
104	0.000870507455329002	0.000414536693680493	0.00026537514874231	0.00032064179102596
105	0.00086823602748871	0.00037593434206311	0.000265595250022579	0.000320903987644182
106	0.00086409919623136	0.000335535598252268	0.000265795488995482	0.000321148162340251
107	0.000818033301890939	0.000295846839701919	0.000265980849733051	0.000321361358238292
108	0.000787062800295825	0.00029375069240433	0.000266156174105018	0.000321533180425788
109	0.00077883495601015	0.000318945268408942	0.000266337620531065	0.000321700136530391
110	0.000725691988403807	0.000332741775025278	0.000266531325927373	0.000321911405458752
111	0.000673244690649382	0.000351854123468169	0.000266764824415957	0.000322223671430577
112	0.000635852014577239	0.000378360398416192	0.00026703789089057	0.000322623511652602
113	0.000628225549311487	0.000447737731402176	0.00026734111477231	0.000323085374213352
114	0.000617020136234921	0.000451712143385473	0.000267662111109942	0.000323585870085873
