lagtime	RRD_p|antQ0.00876-0.1	RRD_p|antQ0.1-0.2	RRD_p|antQ0.2-0.5	RRD_p|antQ0.5-1	RRD_p|antQ1-20.2	se_p|antQ0.00876-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.5	se_p|antQ0.5-1	se_p|antQ1-20.2
18	-0.00175494728754664	0.00471214794967309	0.00673592909247789	0.00935010804217144	0.00614461551187814	0.000395143076610708	0.000403817243687803	0.000305563998851455	0.000425326773887288	0.000366933515433431
19	-0.00178147082168135	0.00477198169490296	0.00762252465789976	0.00893076590969019	0.00551018720077535	0.000395134461628795	0.000403882169608476	0.000305649418518658	0.000425475533628387	0.000367000960849302
20	-0.00187374812283865	0.0042760784948129	0.00725855234967223	0.00870451371375219	0.00439949644718973	0.000395127458087422	0.000403928842975268	0.000305710966186286	0.000425629074499374	0.000367033813905977
21	-0.00189617578272833	0.00438526887027378	0.00744587329051035	0.0086787619991203	0.00422920105031043	0.000395120911574099	0.00040397599027154	0.00030572782369211	0.000425767878495187	0.000367080490017906
22	-0.00169387059350877	0.00373030864782461	0.00708688744250077	0.00800803211190751	0.00456554206374354	0.000395102884733054	0.000404040727816208	0.000305735449373667	0.000425874435461123	0.000367157146490696
23	-0.00146582595680906	0.00370624446297844	0.00721140221424954	0.00824389874350684	0.00370713992660056	0.000395104305034296	0.000404100432680297	0.000305777615978933	0.000425963443963315	0.000367210775110951
24	-0.00140288073054119	0.0036058973280223	0.0066600792858204	0.00734815041023293	0.00289662142044588	0.000395102687758635	0.000404148280067005	0.000305829721287522	0.000426044423572567	0.00036725693319411
25	-0.00142765483923682	0.00301304181073928	0.00620481151780618	0.00744526411674598	0.00411409851664548	0.000395086860981568	0.000404216090230046	0.00030591246990035	0.000426103961690723	0.000367276307777399
26	-0.00186080688254711	0.00299531203013664	0.00629676449668947	0.00736242347887907	0.0032787031479406	0.00039514529370131	0.000404262139176838	0.000305993546051676	0.000426137739103529	0.000367290051164265
27	-0.00259352940387111	0.00361342138946625	0.00547515809407407	0.00642190530749463	0.00283083678396938	0.000395189598922906	0.000404330019273478	0.000306092403479202	0.000426178546894519	0.000367302587250454
28	0.000884948965170475	0.00393518021220775	0.00567475989425523	0.00664359234089497	0.00243050050624285	0.000395209713496872	0.000404382343066249	0.000306169711871916	0.000426218950001607	0.000367327315318922
29	0.00193996631358096	0.00418346373451081	0.00589083805466249	0.0069012761321789	0.00229294801169395	0.000395235176162328	0.000404422061546884	0.000306210192086641	0.000426263979966584	0.000367353932119963
30	-0.000545393080574762	0.00410277307310357	0.00553179159787539	0.00770897664948828	0.0028678611587992	0.000395255014642254	0.000404492522278855	0.000306232288553038	0.000426336612048618	0.000367382494073187
31	-0.00131007115220964	0.00421346677738289	0.00537604464514125	0.0060966603617828	0.00343411943464502	0.000395256874422182	0.000404548852267885	0.00030628684708766	0.000426407815578452	0.00036740757751363
32	-0.00225902155922152	0.0036514951056	0.00498050125647544	0.00652032851935998	0.00282558065700555	0.00039526479994276	0.000404604014139592	0.000306326085352329	0.000426420023443017	0.000367416821027901
33	-0.00168290898686267	0.00334040425616857	0.00495153695476865	0.0057511334661725	0.00216396246818581	0.00039527005997548	0.000404652190355082	0.000306350046848109	0.000426494667585586	0.000367440440887213
34	-0.00126351585915928	0.00298500040862205	0.00448511796577336	0.00554388486255485	0.0023601171061664	0.000395264674973155	0.000404688721294329	0.000306366450154085	0.000426538593092272	0.000367454182771216
35	-0.00140211719224465	0.0030805183026189	0.00456640332605028	0.00534150868407551	0.00256172947517283	0.000395242840722889	0.000404732604755004	0.000306369435265311	0.000426556603492157	0.000367465569315967
36	-0.00158099586410986	0.00300043300573755	0.00440581470609367	0.00516233383595374	0.00223891846095373	0.000395241506969003	0.000404788338696854	0.000306378204971257	0.000426562007426407	0.000367480345065359
37	-0.00128465506580677	0.00252746699141963	0.00463771620192097	0.00533726041365221	0.00227280610229888	0.000395253584715936	0.000404849937685068	0.000306403039111174	0.000426565132714124	0.000367476229760049
