lagtime	NRF_p<2|antVPD-0.0951-0.0315	NRF_p=2-4|antVPD-0.0951-0.0315	NRF_p=4-6|antVPD-0.0951-0.0315	NRF_p=6-10|antVPD-0.0951-0.0315	NRF_p<2|antVPD0.0315-0.0576	NRF_p=2-4|antVPD0.0315-0.0576	NRF_p=4-6|antVPD0.0315-0.0576	NRF_p=6-10|antVPD0.0315-0.0576	NRF_p<2|antVPD0.0576-0.0931	NRF_p=2-4|antVPD0.0576-0.0931	NRF_p=4-6|antVPD0.0576-0.0931	NRF_p=6-10|antVPD0.0576-0.0931	NRF_p<2|antVPD0.0931-0.185	NRF_p=2-4|antVPD0.0931-0.185	NRF_p=4-6|antVPD0.0931-0.185	NRF_p=6-10|antVPD0.0931-0.185	NRF_p<2|antVPD0.185-2.59	NRF_p=2-4|antVPD0.185-2.59	NRF_p=4-6|antVPD0.185-2.59	NRF_p=6-10|antVPD0.185-2.59	se_p<2|antVPD-0.0951-0.0315	se_p=2-4|antVPD-0.0951-0.0315	se_p=4-6|antVPD-0.0951-0.0315	se_p=6-10|antVPD-0.0951-0.0315	se_p<2|antVPD0.0315-0.0576	se_p=2-4|antVPD0.0315-0.0576	se_p=4-6|antVPD0.0315-0.0576	se_p=6-10|antVPD0.0315-0.0576	se_p<2|antVPD0.0576-0.0931	se_p=2-4|antVPD0.0576-0.0931	se_p=4-6|antVPD0.0576-0.0931	se_p=6-10|antVPD0.0576-0.0931	se_p<2|antVPD0.0931-0.185	se_p=2-4|antVPD0.0931-0.185	se_p=4-6|antVPD0.0931-0.185	se_p=6-10|antVPD0.0931-0.185	se_p<2|antVPD0.185-2.59	se_p=2-4|antVPD0.185-2.59	se_p=4-6|antVPD0.185-2.59	se_p=6-10|antVPD0.185-2.59
49	0.00472709964802748	0.00838111578829399	0.00834010924646507	0.00567360414773864	0.00518585053071424	0.0162533341060866	0.0218215204050016	0.0115245906324953	0.00696895056030932	0.0116296914183733	0.016347837518992	0.0423842983123795	0.00385300904860521	0.0115913235445038	0.013651385696044	0.00457415045466047	-0.017018623623601	-0.0174476199423412	-0.0114678266452953	-0.00639953964013165	0.000872186068011935	0.00188040331276722	0.0030408748283094	0.00475007600775868	0.000871095145437851	0.0016874444536914	0.00252169261250414	0.00375873844347589	0.000981872052224431	0.00203356824340432	0.00354862216033261	0.00589266053703743	0.0013189349239733	0.00348345493806965	0.00725679644045572	0.0161613369030821	0.00283736575146834	0.00867365945714826	0.016440997349306	0.0235242642362363
50	0.0055141418480895	0.00944489028369243	0.0100553389281904	0.0104591016016946	0.00440704756878174	0.0145784691059083	0.0209691885291345	0.0126410951112057	0.00690415291241598	0.0120738647427438	0.0167957990371263	0.0364564089181389	0.00306832416223624	0.00978349016245572	0.0224976121172747	0.012408318064263	-0.0150913871084783	-0.0114163787243823	-0.0135809750285854	-0.011514770356081	0.00087217941064951	0.00188059428985271	0.00304094471163166	0.00475013683272695	0.000871077420477925	0.00168742730656931	0.00252194290463304	0.00375893685078963	0.000981942268082667	0.0020334963332643	0.0035487515152587	0.00589354447268631	0.00131903783875567	0.00348356264408532	0.0072576936220238	0.0161612273911898	0.0028378586730779	0.00867448103681441	0.0164394114163047	0.0235225389411927
51	0.00555473904334088	0.0103713502571895	0.0100007876792638	0.00870297340032758	0.00425158313351943	0.0114620990068753	0.0178130409514643	0.0121200045121244	0.00787836612846224	0.0102366869152135	0.0170828656278121	0.0250109162749435	0.00328783585593877	0.00760993947276167	0.0223727850683641	0.00108539205345309	-0.0138731184291698	-0.00805456227373918	-0.0151596040340746	-0.0149270353548206	0.000872181640447399	0.00188071211047819	0.00304112939680487	0.00475028590252058	0.000871103399780852	0.00168734769306595	0.00252209958086578	0.00375904246045094	0.000981945943325342	0.00203337689318917	0.0035489776767612	0.00589430054931351	0.00131912784793065	0.00348377181307888	0.00725841360921884	0.0161626933564073	0.00283824905372377	0.00867492836280877	0.0164381546583097	0.0235213286656174
52	0.00530125598954386	0.00944789160489212	0.00677790631100707	0.00654845729117381	0.00420944928214612	0.00885391039785616	0.0131260090519389	0.00957731323071077	0.00772220515147704	0.0083056339412942	0.0150882266169509	0.0216307803578275	0.00389324914677987	0.00847242747621595	0.0219446782090247	0.0111301941858418	-0.0143276531237895	-0.00236878680781196	-0.0113731863878365	-0.0188456402962762	0.00087224237047061	0.00188079826606172	0.00304133231695298	0.00475037719456464	0.000871110940500868	0.00168725592802679	0.00252230159313234	0.00375883826117582	0.000981938624939753	0.00203324844259943	0.00354940691461005	0.00589520070922637	0.00131914774246957	0.00348391526345207	0.00725857889584361	0.0161652737246765	0.00283862286234098	0.00867532704447252	0.0164371898127128	0.0235205937874156
53	0.00495239775439616	0.00875915612380404	0.00603064400942001	0.00366292308749395	0.00423804819980631	0.00764978321259243	0.0121725401469645	0.0108978233993607	0.00694901457494161	0.00893214059610708	0.0137917395472718	0.0232247842958328	0.00459640283522703	0.00877585578421758	0.0302751007391023	0.0213702620293667	-0.0155134561867055	-0.00510086218580601	-0.007341961685008	-0.0153148683302962	0.000872350376320173	0.00188086923937034	0.00304148457449813	0.00475031355247153	0.000871144555603525	0.00168719869498782	0.00252234666266092	0.00375830924500753	0.000981934615373319	0.00203319443398704	0.00355020905386573	0.00589590357906498	0.00131912659479639	0.00348392845227724	0.00725829367964642	0.0161680802744785	0.00283899511455877	0.00867584606145877	0.0164365655763811	0.0235201359315725
54	0.00505291886405949	0.00864137191528684	0.0081550857801546	0.00418526118153726	0.00387424067312885	0.00933980525859586	0.013745287555147	0.0109074227552054	0.00661986548311419	0.008265629066654	0.00891014391128113	0.0179495192342395	0.00413959535142207	0.0093877733206052	0.0308191556899432	0.025831274624314	-0.0142239967086385	-0.0106177781727132	-0.00740021168523329	-0.0102015833333053	0.000872418106073765	0.00188092873227724	0.00304163862448419	0.00475008762409191	0.000871149637086249	0.00168715133601892	0.00252230251075676	0.00375797009571798	0.000981957655380597	0.00203311924030561	0.0035507914718456	0.00589644384461509	0.00131907510996084	0.00348393851614413	0.00725784592012813	0.0161706585104748	0.00283914187120757	0.00867655636798931	0.0164363045014543	0.0235200579426823
55	0.00539639303811659	0.00691398671228801	0.00731576005893353	0.00425048360578407	0.00360970713663079	0.0104350506235688	0.0146967088891992	0.0126127396790811	0.00695891436970477	0.0107470802858341	0.00920035280207447	0.012881045717174	0.00448349357708836	0.0129655550711997	0.0319514049310234	0.01494239085897	-0.0119942366151877	-0.0119685099516517	-0.00354077559481256	-0.00661273566382448	0.000872438162488188	0.00188092582955269	0.00304164815925188	0.00475002057271156	0.000871105852573037	0.00168716757346647	0.00252231591818205	0.00375769850323125	0.000981963501826677	0.00203302795442824	0.0035510675453582	0.00589675208152886	0.00131904647355069	0.00348397512045928	0.00725758320243445	0.0161727305130625	0.00283907512568759	0.00867713661993688	0.0164361907211135	0.0235202415521563
56	0.00607300559902151	0.00578944102283834	0.00610869620834377	0.00384208050273506	0.00432009194175489	0.0104791925001916	0.0117934857066418	0.00893930114592265	0.00717595668833319	0.0111783938869346	0.0133883503749644	0.0137084004744458	0.00277255182918196	0.0105464379009307	0.0229223017252953	0.0153445126424156	-0.0123731611183397	-0.0116090457999516	0.0130792024810859	0.000420305754885979	0.000872430678049805	0.00188090947111247	0.00304159712697732	0.00474970403479626	0.000871014133277501	0.00168721308807305	0.00252228940134487	0.00375748339318405	0.0009819806840924	0.00203287583989056	0.00355124578624093	0.00589705984049293	0.00131896760959049	0.00348401337987431	0.00725739373664468	0.0161744524999319	0.00283876350317245	0.00867765376536098	0.0164363098648897	0.0235205814978872
57	0.00644717848394685	0.00626127702284606	0.00483579070080135	0.00553881968565666	0.00391323744901939	0.00871526627944279	0.00837326352719013	0.00934780619567629	0.00566628766291254	0.00917001250529532	0.0138239995591428	0.0168704820709415	0.00284245730220617	0.00996556170296912	0.0202525272613198	0.0201935238592768	-0.0144170019088954	-0.0172132452355664	0.00787079163261003	-0.00858800510960608	0.000872399436490589	0.00188094223593861	0.00304132286887386	0.00474899196545959	0.000870956831535653	0.00168730182651059	0.00252222249561743	0.00375721476639433	0.000981959943053237	0.00203271061541218	0.00355124801188938	0.00589727382684912	0.00131879387906487	0.00348407999891485	0.00725735416066205	0.016175575270127	0.00283830722717158	0.00867798669014424	0.0164365467877676	0.0235209587837066
58	0.00655804847186114	0.00729102588937065	0.00578481061419425	0.0125043678622929	0.00365095043379629	0.00990434502894706	0.0118701675899776	0.0146224903751892	0.00553315092690986	0.00908052909678818	0.0124430146838035	0.0221616728449537	0.00301856987300073	0.0103526516014157	0.0233943674028654	0.0393454912866118	-0.0147170735579325	-0.0180287949935827	0.00216046805949083	-0.0134881192967712	0.000872354027799083	0.00188097702409556	0.00304093797449026	0.00474831341545818	0.000870925565008749	0.00168734012350307	0.0025221475728031	0.00375701306084992	0.00098192201897095	0.00203259350417839	0.00355109583440706	0.00589695154679652	0.00131861455737247	0.00348417926618362	0.00725723843198493	0.0161771632202689	0.00283774947864605	0.00867805930705146	0.0164368399475239	0.0235212968623818
59	0.00650986507383556	0.00711452589285675	0.00519036153409836	0.0103532537410423	0.00348863273742005	0.0113816667036794	0.0123009899239231	0.0135146142017554	0.00552792382579878	0.00814169593095888	0.0138764521669145	0.0219846968602046	0.00350230954483924	0.0103749584255948	0.0253919370402478	0.0377267509470131	-0.013416755089272	-0.0161155833473781	-4.66940347261524e-05	-0.0144013338745277	0.000872315517497586	0.0018809527340952	0.00304049665177576	0.00474741849746434	0.000870895670113245	0.00168735230702191	0.00252211261562631	0.00375697114149429	0.000981834718737729	0.00203248904988836	0.00355082664547593	0.0058966056321695	0.00131838230452103	0.00348419268748026	0.00725704894922284	0.0161814271025419	0.00283700574932478	0.0086778912944028	0.0164368454805533	0.0235215139531402
60	0.0059963096361358	0.00702924997344318	0.00434708192789515	0.00868021298742483	0.00300586251856798	0.010709244740369	0.0090381521792786	0.00847874089039142	0.00458166220010402	0.00500511919785375	0.0128775451403853	0.0164626733366247	0.00469762522549872	0.0113148821189202	0.0217244970925217	0.0351458679320884	-0.0130374958090768	-0.0154294509502405	-0.000900800914618818	-0.0133103485432548	0.000872328090004642	0.00188092985156481	0.00303995070717567	0.00474645159345031	0.000870849082354042	0.00168733112205775	0.00252206848723093	0.00375695146847892	0.00098173063187355	0.0020322988820849	0.00355040114093629	0.00589598284425068	0.00131808886521689	0.00348410289551777	0.00725645446726358	0.016186588908614	0.00283626691283083	0.00867712828123436	0.0164367683152536	0.0235214828135182
