lagtime	NRF_p<3|antQ0.00876-0.1	NRF_p=3-6|antQ0.00876-0.1	NRF_p=6-9|antQ0.00876-0.1	NRF_p=9-12|antQ0.00876-0.1	NRF_p<3|antQ0.1-0.2	NRF_p=3-6|antQ0.1-0.2	NRF_p=6-9|antQ0.1-0.2	NRF_p=9-12|antQ0.1-0.2	NRF_p<3|antQ0.2-0.5	NRF_p=3-6|antQ0.2-0.5	NRF_p=6-9|antQ0.2-0.5	NRF_p=9-12|antQ0.2-0.5	NRF_p<3|antQ0.5-1	NRF_p=3-6|antQ0.5-1	NRF_p=6-9|antQ0.5-1	NRF_p=9-12|antQ0.5-1	NRF_p<3|antQ1-20.2	NRF_p=3-6|antQ1-20.2	NRF_p=6-9|antQ1-20.2	NRF_p=9-12|antQ1-20.2	se_p<3|antQ0.00876-0.1	se_p=3-6|antQ0.00876-0.1	se_p=6-9|antQ0.00876-0.1	se_p=9-12|antQ0.00876-0.1	se_p<3|antQ0.1-0.2	se_p=3-6|antQ0.1-0.2	se_p=6-9|antQ0.1-0.2	se_p=9-12|antQ0.1-0.2	se_p<3|antQ0.2-0.5	se_p=3-6|antQ0.2-0.5	se_p=6-9|antQ0.2-0.5	se_p=9-12|antQ0.2-0.5	se_p<3|antQ0.5-1	se_p=3-6|antQ0.5-1	se_p=6-9|antQ0.5-1	se_p=9-12|antQ0.5-1	se_p<3|antQ1-20.2	se_p=3-6|antQ1-20.2	se_p=6-9|antQ1-20.2	se_p=9-12|antQ1-20.2
45	-0.00130816658667185	-0.00698111138238297	-0.0106693540901161	-0.0142303759306282	0.00351910525106269	0.00479465639883617	-0.0012772847755465	0.044568914473271	0.00545874746509554	0.0153344935714755	0.0162160207381705	0.0325984240378492	0.00675364109079502	0.0169891519705858	0.013416837590939	0.0236540125614349	0.0102094329496682	0.00748785490828972	0.00758299275341216	-0.000878091973892922	0.000670554711014478	0.00219189412518475	0.00652478577629462	0.0120232661642233	0.000673009784899378	0.00224525787925417	0.00651065757651532	0.014720764772868	0.000562245081210661	0.00164494464228602	0.00393579070125291	0.00909968825120464	0.000873090669633003	0.00226483963809481	0.00514129764148316	0.0112038361324638	0.00125171220811583	0.00190419509967608	0.00299477710502575	0.00549479641582573
46	-0.000918713941306581	-0.0055466766742085	-0.0123011773223078	-0.00641044855991175	0.00430751174186201	0.00813127230468371	-0.00570832841780329	0.024562306657603	0.00571406075407106	0.0132114208905433	0.0111080812508137	0.0459574855075293	0.00837537632489376	0.0176241968513776	0.0119006912582919	0.0199590861963808	0.00933583679929109	0.00836614254688869	0.00809744033631766	-0.00134405804405851	0.000670485758851627	0.00219188134231051	0.00652561811593054	0.0120291710590236	0.000673022354331036	0.00224540442709869	0.00651348976764559	0.0147227439238905	0.000562276517533134	0.00164512761284827	0.00393596225139867	0.00910344540130341	0.000873043675880047	0.00226487573445486	0.00514122381754466	0.0111991533148504	0.00125156305720541	0.00190388840585803	0.00299457295734346	0.00549495627220473
47	-0.000586929699236054	-0.00438864141533915	-0.00389176847247081	0.002239690501935	0.00442315262713233	0.0114210421768761	-0.00666662792116294	0.00300058361020882	0.00546464129771927	0.0149033885402679	0.0127164508707427	0.050333624091194	0.00782805541870967	0.0155418108772506	0.00898395922059382	0.0141447449568247	0.00550939618976482	0.00924451079365356	0.0131259483915205	0.00500317980842627	0.000670342595766438	0.00219199034964373	0.00652676223133911	0.0120349040876336	0.000672972988863436	0.00224563061910447	0.00651571176803381	0.014724620553881	0.000562312063630012	0.00164523997826672	0.00393622998512628	0.00910607093421187	0.000873069942024604	0.00226489931666622	0.00514089108893139	0.0111956177180175	0.0012515563654921	0.00190385566191827	0.00299449593082933	0.00549495144107612
48	-0.000916696232088607	-0.00511954579486388	0.00377336906419055	0.00989049086978014	0.00386825820484419	0.00901074026711587	-0.00134301646646087	0.00498475366552071	0.00539362812588071	0.0140790633538905	0.0100279552759477	0.0462161827515679	0.0068531375774869	0.0115447025757932	0.00830481081059533	0.0149746468363812	0.00644817707606739	0.00812544264851222	0.00839600219209552	0.00137298918473926	0.000670285584127368	0.00219215843145774	0.00652749132058007	0.0120387693534713	0.000673061666499738	0.00224591808898432	0.00651708115838409	0.0147260096006226	0.000562332438073722	0.00164533252648702	0.0039363628817105	0.00910776523744176	0.000873050542586487	0.00226488052687495	0.00514060635554584	0.0111934543470405	0.00125149627204941	0.00190351506878397	0.00299421050711589	0.00549504313488827
49	-0.00118478841169131	-0.00347105956443389	0.00131523894637977	0.00125137689191375	0.00495809390104248	0.00795463764371014	0.00742559937779562	0.000249552377464633	0.00666655274974317	0.015749286013517	0.0151174508675677	0.0414707988920411	0.00641927328352672	0.00886943048143505	0.00792187590105378	0.00632317993966502	0.00591359710763758	0.00918055148894188	0.0156923574334812	0.00609681604421107	0.000670276180598408	0.00219207026874619	0.00652805549271467	0.0120415221563023	0.000673181104616959	0.00224618972422754	0.00651793152211915	0.0147273495467374	0.000562353457847177	0.00164539828179671	0.00393652410778448	0.00910895071102899	0.000873037104203833	0.00226484860858548	0.00514039278607531	0.0111923033911673	0.00125112792745534	0.00190275972474703	0.00299381782350887	0.00549506797350411
50	-0.00168012866056489	-0.00270428669205885	-0.00311439121588032	-0.0182290463370457	0.00502670946661168	0.0075484591201484	0.00596527974236971	-0.00767041531772183	0.00638844855841935	0.0177315585913552	0.015928613655848	0.0318665684131906	0.00871236236674479	0.0124382977779398	0.00964297934323911	-0.000129785463871754	0.00480268004150786	0.00575127523262463	0.0126766986239832	0.00889011959012292	0.000670294762748219	0.00219197275235523	0.00652857704038279	0.0120432115996391	0.000673218221021295	0.00224643336039399	0.00651857290328326	0.0147286222748082	0.000562354919937453	0.00164550393224224	0.00393642753343191	0.00911026136775942	0.000873035761643267	0.00226462446960303	0.00514018163647657	0.0111920265267464	0.0012510401678892	0.00190266756829699	0.0029939022666442	0.00549521288532829
51	-0.00221315949311279	-0.00381461777048336	-0.00803414511108482	-0.0331250933177604	0.0038509353854892	0.0077971777341707	-0.0037892335518515	-0.0260690560481832	0.00660783495670414	0.0174744238823397	0.0129747488106903	0.0179737586479061	0.00849226795805391	0.0104659144605764	0.00516505013662758	0.00452874550391044	0.00457078982682321	0.00442332319294358	0.00526777314378531	0.00830540844091523	0.000670341226652228	0.0021919163746192	0.00652901545166352	0.0120444172436764	0.000673249526503247	0.00224671711132698	0.00651904503422977	0.0147293980992885	0.000562300777284329	0.00164564650266226	0.00393568039998218	0.0091112544379734	0.000872974745199726	0.00226492316180101	0.00514012638643104	0.011191791226291	0.00125102758624199	0.00190256140916162	0.00299388423211847	0.00549525694985933
52	-0.00223674035354957	-0.00373285709983987	-0.00750599772171769	-0.035287399049609	0.00473176205302732	0.00568090374243426	-0.00405269422817444	-0.0166037174872778	0.0051688721874624	0.0134909677893304	0.0114289245522213	0.0237005937319329	0.00772340085951601	0.0101426888372961	0.00173865151855488	0.0217871777964343	0.0053676683455786	0.0037045220887578	0.00441248925790228	0.00911059354057537	0.000670361663220759	0.00219192874680849	0.00652919054568093	0.0120451214251886	0.000673280892208092	0.00224697074573247	0.0065194624004435	0.0147299305802453	0.000562271564259082	0.00164566041745008	0.00393596677717484	0.00911175774746928	0.000872806887231587	0.00226512474600052	0.0051399601487828	0.0111918222725429	0.00125094093980993	0.00190246285570226	0.00299382866634941	0.00549522792539807
53	-0.00240489018291299	-0.00506460796018044	-0.0046524396895978	-0.0268917779829228	0.00568245447507009	0.00369536747179776	-0.00451404362274321	-0.0127277592900144	0.00454015755137192	0.0138892710451057	0.0135922621023054	0.0319199598032487	0.00563942192943705	0.0107857068785815	0.00794349290955095	0.0213856787857425	0.00573237286481468	0.0056949691271063	0.00775318828088088	0.0063416574304247	0.000670376727561871	0.00219200180085725	0.00652932033111343	0.0120455287205563	0.000673308094585362	0.00224706701837818	0.00651984946003747	0.0147302870583784	0.000562235026028826	0.00164510320397863	0.00393624653205782	0.00911191579238272	0.000872720802513602	0.00226529973994671	0.00513994046755217	0.0111918153176191	0.00125083315062066	0.00190251188488154	0.00299380078317521	0.00549484438606797
54	-0.00152662962011347	-0.00374639604014028	-0.00421297411130358	-0.0198106162663141	0.00429363553328659	0.00200262217091193	-0.00177523873135744	-0.0016082746736043	0.00401819505958716	0.0122828045738692	0.00986027714335654	0.0279208365194482	0.00428098823500248	0.00864561723039832	0.0131429284701869	0.0123141688427904	0.00815258529412012	0.0078110140138733	0.00785082184526498	0.00450184948327709	0.000670397926983163	0.00219202717138711	0.00652931608472368	0.0120458936955632	0.000673320769664216	0.00224715674845306	0.00652011051013643	0.0147304968248003	0.000562194548221259	0.00164474004259371	0.00393646757058597	0.00911218785341367	0.00087271466365195	0.00226537248523733	0.00513953932009598	0.0111899444143041	0.00125072771765307	0.00190231878069015	0.00299366487978039	0.00549438335320083
55	-0.000917998368645641	-0.00386618940538354	-0.0057407507456693	-0.0147023801097031	0.0042364237058925	0.00529970071481876	-0.00151475476061407	-0.00727741557702937	0.00576829146576442	0.0124459887465494	0.00394903277862948	0.0152701533051726	0.00345176406043534	0.00683504115019471	0.0129194380729835	0.0192548616913058	0.00666651082705552	0.00817139963267786	0.0149500470039821	0.0132813436900447	0.000670385521614405	0.00219204065951222	0.00652932345754085	0.0120467234158728	0.000673377368081818	0.0022471638225477	0.00652020355601462	0.0147307255707637	0.000562124215366988	0.00164439543804298	0.00393638513944288	0.00911243387221854	0.000872794770967498	0.00226550920658852	0.00513881252531682	0.0111868893278336	0.00125072230699297	0.00190220186301608	0.00299354636087768	0.00549379614289737
56	-0.00219471608454316	-0.00601046615024542	-0.00715032347856463	-0.0127209476028511	0.0046515538878666	0.00653984002978745	-0.00248960671051602	-0.00358232988164474	0.00602059179117852	0.0113109920543426	0.00125166250796906	0.00109986458345187	0.00444050325351053	0.00800337411998889	0.011212518946103	0.0173216750534478	0.00646898978792419	0.0072651787946851	0.00667392744977414	0.00194871436592039	0.000670364623249134	0.00219204602228349	0.00652918178245841	0.0120472024992182	0.00067337833929291	0.00224719019866608	0.00652026022991852	0.0147307446766689	0.000562086708512223	0.00164413354397494	0.00393628630850363	0.00911256230754766	0.00087282364393641	0.00226558813949836	0.0051380431216646	0.0111840570722496	0.00125070053415633	0.0019021328808749	0.00299334214979671	0.00549331291414905
57	-0.00297481417245187	-0.00589012598884111	-0.00509639091436239	-0.0105190889609246	0.00371588980775568	0.0061125765327796	-0.00425674729802061	-0.000263400287321736	0.00662326332089331	0.0100157148317783	0.000781455443006403	0.00180201073337314	0.00311469552030654	0.00521818521248067	0.00709671461878325	0.0187827550964074	0.00263872041371179	9.84636338097122e-05	-0.000220175274507467	0.0029480392461216	0.000670335480276894	0.00219198951695708	0.00652890462075332	0.0120474447685953	0.000673367511036035	0.00224713692295439	0.00652027936760949	0.0147306967690416	0.000561987371095508	0.00164393372124202	0.00393561804925945	0.0091125326689612	0.000872862167015618	0.00226562062070141	0.00513751997515184	0.011181966284405	0.00125064086794428	0.00190212265146534	0.00299304574976532	0.0054924207043892
