setwm_label	lwr_antVPD	lwr_antQ	upr_antVPD	upr_antQ	mean_antVPD	mean_antQ	wtd_meanp	pvol	tpeak	tpeak_se	NRF_peakht	NRF_peakht_se	width	width_se	rc	rc_se	rsum	rsum_se	n.nz
p=4-6|antVPD-0.0951-0.0932|antQ0.2-0.5	-0.095080156	0.2	0.0932	0.5	0.0454236486400487	0.327989699609345	4.98955613443661	4.98955613443661	2.814717909538	0.0880766317878007	0.363003788740077	0.0199005008813339	3.94219600952952	0.179935750612456	0.604316726442445	0.00453994196681986	3.01527222956355	0.0226522952905322	1059
p=6-10|antVPD-0.0951-0.0932|antQ0.2-0.5	-0.095080156	0.2	0.0932	0.5	0.0454236486400487	0.327989699609345	7.42316770002952	7.42316770002952	2.65739972878897	0.141634788744321	0.686504790366447	0.0829981949851168	3.15521156070545	0.290429975913041	0.595751737297978	0.00509695684694312	4.42236505354683	0.0378355654346725	321
p<2|antVPD-0.0951-0.0932|antQ0.5-1	-0.095080156	0.5	0.0932	1	0.0450482538229473	0.702878398639725	1.14640842788503	1.14640842788503	3.7243637372631	0.15062971297522	0.0478350516184891	0.00201924273061544	9.05577571055527	0.359344502426908	0.7965122520714	0.00806299810522203	0.913128358688337	0.00924348898184755	8261
p=2-4|antVPD-0.0951-0.0932|antQ0.5-1	-0.095080156	0.5	0.0932	1	0.0450482538229473	0.702878398639725	3.02834480197052	3.02834480197052	3.06184377416181	0.177192760405481	0.22095251690312	0.0183055036936535	5.27560109199805	0.450813713941341	0.800963443401182	0.00606558702659901	2.42559348039238	0.0183686889429009	2015
p=4-6|antVPD-0.0951-0.0932|antQ0.5-1	-0.095080156	0.5	0.0932	1	0.0450482538229473	0.702878398639725	5.01179855811797	5.01179855811797	2.61726411100103	0.142850145751825	0.528321972861747	0.0531407128265348	3.71923900475792	0.383668101797735	0.815417367831598	0.00606818618494116	4.08670758836275	0.0304125267720794	709
p=6-10|antVPD-0.0951-0.0932|antQ0.5-1	-0.095080156	0.5	0.0932	1	0.0450482538229473	0.702878398639725	7.67481721212889	7.67481721212889	2.16479576493618	0.00372515650985526	1.06208856479522	0.00386843234813408	2.91881417681691	0.163637790713101	0.745578764630954	0.00636688014762215	5.72218073578744	0.0488646413445322	235
p<2|antVPD-0.0951-0.0932|antQ1-20.2	-0.095080156	1	0.0932	20.18325015	0.041415411503332	2.16362282116806	1.27315663890708	1.27315663890708	3.94772014168354	0.134747529050118	0.0716393774185903	0.00292733132836495	7.52603646812019	0.229774590250225	0.937316453812206	0.0109936026330531	1.19335066592785	0.0139965781777779	5711
p=2-4|antVPD-0.0951-0.0932|antQ1-20.2	-0.095080156	1	0.0932	20.18325015	0.041415411503332	2.16362282116806	3.10772056618485	3.10772056618485	2.74474039860365	0.143012741319019	0.299042666224776	0.021953049698275	4.99580947760732	0.360928313048447	0.705552179574641	0.00592019997175775	2.19265901898066	0.0183983272081585	2550
p=4-6|antVPD-0.0951-0.0932|antQ1-20.2	-0.095080156	1	0.0932	20.18325015	0.041415411503332	2.16362282116806	5.01518007566577	5.01518007566577	2.54312156876372	0.167749926348868	0.62048310217555	0.0691363654848856	3.77685141344828	0.419660934558324	0.799980416848732	0.00441470713719362	4.01204584750256	0.0221405512743529	1174
p=6-10|antVPD-0.0951-0.0932|antQ1-20.2	-0.095080156	1	0.0932	20.18325015	0.041415411503332	2.16362282116806	7.70011172131589	7.70011172131589	2.09814726851947	0.00186828018645771	1.34135375745352	0.00267707806095202	2.79792129572382	0.155269059939765	0.811315590320181	0.00374618579376829	6.24722068671075	0.0288460491408223	500
