lagtime	wtd_avg_RRD_p|antQ0.0221-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.4	wtd_avg_RRD_p|antQ0.4-2.86	se_p|antQ0.0221-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.4	se_p|antQ0.4-2.86
36	-0.000831711859229385	0.00144040551583364	0.00299710427980938	0.00394468819041468	0.000233400115031017	0.000191571118360962	0.000196004284271075	0.000228404296716349
37	-0.000816377767573965	0.00161928849452276	0.00297254170449568	0.00372926282429111	0.000233427498757246	0.000191563421204824	0.000196044817187591	0.000228361971087191
38	-0.000669554299114741	0.00190195914468158	0.00303288101537582	0.00352313490404891	0.000233456899521827	0.000191582848825268	0.000196076053926582	0.000228308793058691
39	-0.000902009291307314	0.0019316366780991	0.00277077238750783	0.00333605718611643	0.000233487274179362	0.000191591758796071	0.000196113508047933	0.00022827320994577
40	-0.0010141596681787	0.00169158973020872	0.00270072573716955	0.00341091787214262	0.000233501261945529	0.000191628938572188	0.000196175352784816	0.000228246347846113
41	-0.00108849718024277	0.00154501491413753	0.00283739464848404	0.0035020698915112	0.000233499850973726	0.000191669427562678	0.00019621836362452	0.000228234802312896
42	-0.00120980044340584	0.00146107240108034	0.00286296232483052	0.00345950835960693	0.000233483251202864	0.000191690978297018	0.000196239085740638	0.000228212929565254
43	-0.0010144327650674	0.00132925925141503	0.00280793162764847	0.00335621035486483	0.000233466424220113	0.000191705250391902	0.000196261121314803	0.000228180670902678
44	-0.000783259287348582	0.00131315724134021	0.00281147986897387	0.00334796551711281	0.000233478457358634	0.00019171487589458	0.000196312062020278	0.000228121698107742
45	-0.000771575064634349	0.00145394821082053	0.00277343297977201	0.0033217822562781	0.000233520079292495	0.000191722650799094	0.000196337272593071	0.000228081712885453
46	-0.000903813253251023	0.00163570172913235	0.00273173776789127	0.00324593185602723	0.000233593463954064	0.000191725131355794	0.00019633484345467	0.000228067941199759
47	-0.000820391232185451	0.00181609418369397	0.0027632612784862	0.0032192168708989	0.000233667205508289	0.000191748920883306	0.000196322687864385	0.000228056208099855
48	-0.000700292530257279	0.0018383030211938	0.00292049969515484	0.00326488351503677	0.000233719337818396	0.000191815999005785	0.000196314963725918	0.000228067156598365
49	-0.000880871245047349	0.00175936316725408	0.0029820711349461	0.00314480574461904	0.000233757337770423	0.000191862012981837	0.000196325381160399	0.000228060235895794
50	-0.000829798471301405	0.00161687829549556	0.00288035130134888	0.00307089948410694	0.000233783671482948	0.0001918924804017	0.000196324772290948	0.000228037268093739
51	-0.00106184023683808	0.00145460054415581	0.00256387047867718	0.00286413512041917	0.000233825712507168	0.000191946283492966	0.000196308313421102	0.000228020525289709
52	-0.00116874382611738	0.00134844344578154	0.00236681599544191	0.0028531893930988	0.000233872589374145	0.00019204742912854	0.000196306349044115	0.0002279918228814
53	-0.00114903491895074	0.00138743691111178	0.00239397352137078	0.00274280240516838	0.000233912685058476	0.0001921086927974	0.000196303639435049	0.000227938663995031
54	-0.00118802441132431	0.00141553795789964	0.00253314971992781	0.00285558025613686	0.000233939031396419	0.000192126465677999	0.000196287647913613	0.00022787630263994
55	-0.00124348667065848	0.00140561074933799	0.00251685743173637	0.00278863189689199	0.000233951681853708	0.000192129672993414	0.000196266905098893	0.000227807730282275
56	-0.0012609343820298	0.00141053873846362	0.00249132542939195	0.00265786853165234	0.000233970101222383	0.000192137335909757	0.0001962520240153	0.000227751149476189
57	-0.00129370193272358	0.00116393357362786	0.00248665499499006	0.00251960154191753	0.000233980753969437	0.000192147411637568	0.000196238639506444	0.000227706611552629
58	-0.00123472284504699	0.00126192150255512	0.00261650878045602	0.00262964703444857	0.000233947146444738	0.00019216060251305	0.000196216197562864	0.000227635689736359
59	-0.00126049198683878	0.00116406131399831	0.00269613373486764	0.0027117639241142	0.000233905506670044	0.000192146211613815	0.000196205972960744	0.000227485214110476
60	-0.00133596461118688	0.00118645573532968	0.00260257626714918	0.00271032334497191	0.000233847918790944	0.000192126317037729	0.000196198387871684	0.000227249444873922
61	-0.00141483629361638	0.00132460702500788	0.00258421680901794	0.00262450841707549	0.00023375578657048	0.000192111699850311	0.000196198858724001	0.000227064072553014
62	-0.00141068290491712	0.00140109638247494	0.00252014995643878	0.0024699746000081	0.000233693441027744	0.000192103315042006	0.000196196146011202	0.000226986051649586
